Date,Price,Volume
"Feb 19, 2018",1487.35,29427
"Feb 20, 2018",1509.30,46224
"Feb 21, 2018",1511.40,35217
"Feb 22, 2018",1516.25,32347
"Feb 23, 2018",1523.25,34475
"Feb 26, 2018",1518.10,63273
"Feb 27, 2018",1528.35,41198
"Feb 28, 2018",1531.75,118705
"Mar 01, 2018",1525.15,74109
"Mar 05, 2018",1490.50,38820
"Mar 06, 2018",1475.45,72789
"Mar 07, 2018",1435.55,69131
"Mar 08, 2018",1425.75,24570
"Mar 09, 2018",1437.70,157434
"Mar 12, 2018",1433.60,16143
"Mar 13, 2018",1410.80,38286
"Mar 14, 2018",1390.25,49362
"Mar 15, 2018",1373.10,55919
"Mar 16, 2018",1336.80,101855
"Mar 19, 2018",1317.30,53198
"Mar 20, 2018",1304.70,116191
"Mar 21, 2018",1297.00,49317
"Mar 22, 2018",1289.80,55053
"Mar 23, 2018",1277.90,35739
"Mar 26, 2018",1281.90,35033
"Mar 27, 2018",1274.95,51840
"Mar 28, 2018",1294.65,67876
"Apr 02, 2018",1292.75,29977
"Apr 03, 2018",1283.15,68357
"Apr 04, 2018",1271.35,44414
"Apr 05, 2018",1278.60,100475
"Apr 06, 2018",1291.35,37582
"Apr 09, 2018",1290.90,89662
"Apr 10, 2018",1289.45,34975
"Apr 11, 2018",1277.95,45795
"Apr 12, 2018",1272.25,67231
"Apr 13, 2018",1271.70,50332
"Apr 16, 2018",1257.45,155236
"Apr 17, 2018",1264.50,32226
"Apr 18, 2018",1255.65,26940
"Apr 19, 2018",1249.65,47701
"Apr 20, 2018",1274.40,235810
"Apr 23, 2018",1333.30,252664
"Apr 24, 2018",1353.65,196763
"Apr 25, 2018",1353.15,223134
"Apr 26, 2018",1341.85,103729
"Apr 27, 2018",1339.75,67230
"Apr 30, 2018",1358.50,52088
"May 02, 2018",1344.10,131163
"May 03, 2018",1308.80,69005
"May 04, 2018",1286.00,110047
"May 07, 2018",1284.90,106682
"May 08, 2018",1281.10,182611
"May 09, 2018",1267.25,386806
"May 10, 2018",1268.15,81074
"May 11, 2018",1245.15,138565
"May 14, 2018",1251.65,78452
"May 15, 2018",1240.80,22746
"May 16, 2018",1234.60,30547
"May 17, 2018",1228.55,62647
"May 18, 2018",1216.35,17789
"May 21, 2018",1200.20,20256
"May 22, 2018",1208.65,14191
"May 23, 2018",1194.65,162178
"May 24, 2018",1165.50,42684
"May 25, 2018",1165.50,30522
"May 28, 2018",1203.30,55815
"May 29, 2018",1225.90,39185
"May 30, 2018",1239.45,50457
"May 31, 2018",1231.85,41589
"Jun 01, 2018",1203.85,40761
"Jun 04, 2018",1185.25,57698
"Jun 05, 2018",1161.15,51268
"Jun 06, 2018",1196.40,51555
"Jun 07, 2018",1258.75,107919
"Jun 08, 2018",1248.95,65049
"Jun 11, 2018",1249.35,36180
"Jun 12, 2018",1284.30,107552
"Jun 13, 2018",1262.45,60804
"Jun 14, 2018",1252.85,13351
"Jun 15, 2018",1214.70,79763
"Jun 18, 2018",1211.95,37290
"Jun 19, 2018",1208.55,25813
"Jun 20, 2018",1204.40,48673
"Jun 21, 2018",1205.55,29006
"Jun 22, 2018",1212.25,31218
"Jun 25, 2018",1189.25,26095
"Jun 26, 2018",1188.15,20306
"Jun 27, 2018",1185.90,22928
"Jun 28, 2018",1157.75,32610
"Jun 29, 2018",1178.50,80288
"Jul 02, 2018",1181.50,22469
"Jul 03, 2018",1173.55,19620
"Jul 04, 2018",1179.35,20762
"Jul 05, 2018",1182.30,27995
"Jul 06, 2018",1174.25,23305
"Jul 09, 2018",1201.15,77625
"Jul 10, 2018",1228.40,89360
"Jul 11, 2018",1248.25,81934
"Jul 12, 2018",1229.90,42119
"Jul 13, 2018",1218.60,60711
"Jul 16, 2018",1194.60,35525
"Jul 17, 2018",1182.90,33524
"Jul 18, 2018",1186.50,30271
"Jul 19, 2018",1157.60,75938
"Jul 20, 2018",1134.95,186787
"Jul 23, 2018",1143.40,63998
"Jul 24, 2018",1168.25,56158
"Jul 25, 2018",1174.15,62207
"Jul 26, 2018",1175.85,39727
"Jul 27, 2018",1188.40,33749
"Jul 30, 2018",1209.55,45747
"Jul 31, 2018",1218.35,39791
"Aug 01, 2018",1213.00,20590
"Aug 02, 2018",1204.95,33647
"Aug 03, 2018",1204.10,12344
"Aug 06, 2018",1194.60,25297
"Aug 07, 2018",1208.80,35647
"Aug 08, 2018",1212.70,25740
"Aug 09, 2018",1200.30,26813
"Aug 10, 2018",1206.45,133771
"Aug 13, 2018",1191.00,390183
"Aug 14, 2018",1207.15,61370
"Aug 16, 2018",1198.30,23277
"Aug 17, 2018",1226.65,85790
"Aug 20, 2018",1229.10,242538
"Aug 21, 2018",1270.15,402074
"Aug 23, 2018",1329.30,220404
"Aug 24, 2018",1319.35,128345
"Aug 27, 2018",1321.20,49159
"Aug 28, 2018",1307.25,52698
"Aug 29, 2018",1324.90,166140
"Aug 30, 2018",1309.55,64605
"Aug 31, 2018",1308.40,41420
"Sep 03, 2018",1305.55,81094
"Sep 04, 2018",1277.20,57037
"Sep 05, 2018",1268.15,56898
"Sep 06, 2018",1296.00,167557
"Sep 07, 2018",1346.90,328447
"Sep 10, 2018",1373.70,250859
"Sep 11, 2018",1390.50,166801
"Sep 12, 2018",1463.65,566102
"Sep 14, 2018",1448.40,422203
"Sep 17, 2018",1441.60,410349
"Sep 18, 2018",1443.35,73341
"Sep 19, 2018",1439.25,199672
"Sep 21, 2018",1431.95,145552
"Sep 24, 2018",1388.35,84132
"Sep 25, 2018",1429.05,128954
"Sep 26, 2018",1436.00,106689
"Sep 27, 2018",1423.35,97885
"Sep 28, 2018",1409.80,110067
"Oct 01, 2018",1422.90,59120
"Oct 03, 2018",1422.20,121540
"Oct 04, 2018",1382.90,54211
"Oct 05, 2018",1374.75,103463
"Oct 08, 2018",1378.60,58594
"Oct 09, 2018",1354.50,36623
"Oct 10, 2018",1341.40,45355
"Oct 11, 2018",1290.00,55740
"Oct 12, 2018",1308.75,237468
"Oct 15, 2018",1289.05,59201
"Oct 16, 2018",1297.35,115820
"Oct 17, 2018",1285.10,29508
"Oct 19, 2018",1271.60,30897
"Oct 22, 2018",1249.50,35289
"Oct 23, 2018",1245.40,74359
"Oct 24, 2018",1238.70,32228
"Oct 25, 2018",1219.90,24711
"Oct 26, 2018",1232.65,29739
"Oct 29, 2018",1230.75,38282
"Oct 30, 2018",1208.20,370386
"Oct 31, 2018",1279.15,368649
"Nov 01, 2018",1317.55,413143
"Nov 02, 2018",1318.15,184826
"Nov 05, 2018",1306.95,67509
"Nov 06, 2018",1305.15,98447
"Nov 07, 2018",1326.00,15789
"Nov 09, 2018",1308.05,68032
"Nov 12, 2018",1307.40,79226
"Nov 13, 2018",1297.70,37350
"Nov 14, 2018",1287.65,290316
"Nov 15, 2018",1291.65,152831
"Nov 16, 2018",1322.90,56085
"Nov 19, 2018",1350.70,192933
"Nov 20, 2018",1342.70,37580
"Nov 21, 2018",1341.20,28217
"Nov 22, 2018",1345.35,64842
"Nov 26, 2018",1348.70,47967
"Nov 27, 2018",1356.00,33822
"Nov 28, 2018",1399.10,269181
"Nov 29, 2018",1386.30,87581
"Nov 30, 2018",1408.70,136537
"Dec 03, 2018",1389.20,34631
"Dec 04, 2018",1382.05,22886
"Dec 05, 2018",1372.70,22409
"Dec 06, 2018",1378.35,49745
"Dec 07, 2018",1395.90,55427
"Dec 10, 2018",1396.75,79950
"Dec 11, 2018",1399.95,57644
"Dec 12, 2018",1429.90,186494
"Dec 13, 2018",1438.65,84328
"Dec 14, 2018",1430.10,43242
"Dec 17, 2018",1399.65,416570
"Dec 18, 2018",1333.95,546938
"Dec 19, 2018",1334.10,722698
"Dec 20, 2018",1314.15,249605
"Dec 21, 2018",1302.70,193848
"Dec 24, 2018",1302.15,66103
"Dec 26, 2018",1295.30,125511
"Dec 27, 2018",1309.00,72902
"Dec 28, 2018",1313.30,50648
"Dec 31, 2018",1336.75,104257
"Jan 01, 2019",1319.20,66089
"Jan 02, 2019",1319.25,56713
"Jan 03, 2019",1308.95,51343
"Jan 04, 2019",1303.65,53249
"Jan 07, 2019",1301.80,30115
"Jan 08, 2019",1299.40,39949
"Jan 09, 2019",1299.60,49088
"Jan 10, 2019",1300.60,22787
"Jan 11, 2019",1345.60,161056
"Jan 14, 2019",1307.35,108921
"Jan 15, 2019",1293.20,107130
"Jan 16, 2019",1287.45,53823
"Jan 17, 2019",1286.70,44053
"Jan 18, 2019",1276.10,32134
"Jan 21, 2019",1281.10,222935
"Jan 22, 2019",1309.15,217823
"Jan 23, 2019",1293.20,24267
"Jan 24, 2019",1258.35,144809
"Jan 25, 2019",1254.60,34335
"Jan 28, 2019",1235.15,61118
"Jan 29, 2019",1258.90,213427
"Jan 30, 2019",1264.65,74899
"Jan 31, 2019",1272.30,80557
"Feb 01, 2019",1272.20,97864
"Feb 04, 2019",1273.30,93140
"Feb 05, 2019",1257.75,76231
"Feb 06, 2019",1259.90,67825
"Feb 07, 2019",1266.50,42006
"Feb 08, 2019",1255.15,46297
"Feb 11, 2019",1233.80,50593
"Feb 12, 2019",1253.15,40551
"Feb 14, 2019",1258.20,343129
"Feb 15, 2019",1246.90,68457
"Feb 18, 2019",1228.50,26513
"Feb 19, 2019",1242.95,54758
"Feb 20, 2019",1250.50,63952
"Feb 21, 2019",1245.70,50472
"Feb 22, 2019",1248.30,50567
"Feb 25, 2019",1246.55,33418
"Feb 26, 2019",1235.75,80728
"Feb 27, 2019",1225.05,202726
"Feb 28, 2019",1227.05,213393
"Mar 01, 2019",1244.50,196910
"Mar 05, 2019",1233.70,269451
"Mar 06, 2019",1244.55,169943
"Mar 07, 2019",1270.70,174204
"Mar 08, 2019",1266.00,125797
"Mar 11, 2019",1266.20,39949
"Mar 12, 2019",1254.25,57378
"Mar 13, 2019",1296.95,509610
"Mar 14, 2019",1309.60,286413
"Mar 15, 2019",1303.80,218031
"Mar 18, 2019",1305.75,73669
"Mar 19, 2019",1319.60,93185
"Mar 20, 2019",1338.70,110135
"Mar 22, 2019",1340.00,71541
"Mar 25, 2019",1334.65,46079
"Mar 26, 2019",1330.95,35293
"Mar 27, 2019",1326.45,182854
"Mar 28, 2019",1314.90,154138
"Apr 01, 2019",1317.80,97361
"Apr 02, 2019",1322.40,194479
"Apr 03, 2019",1332.15,69523
"Apr 04, 2019",1325.45,40925
"Apr 05, 2019",1377.55,159475
"Apr 08, 2019",1396.00,242997
"Apr 09, 2019",1408.35,92415
"Apr 10, 2019",1381.55,68864
"Apr 11, 2019",1408.35,60678
"Apr 12, 2019",1429.25,102262
"Apr 15, 2019",1423.30,37372
"Apr 16, 2019",1411.65,159112
"Apr 18, 2019",1436.80,95559
"Apr 22, 2019",1439.15,150215
"Apr 23, 2019",1478.30,306815
"Apr 24, 2019",1491.35,126137
"Apr 25, 2019",1494.40,47180
"Apr 26, 2019",1481.10,73873
"Apr 30, 2019",1479.30,59062
"May 02, 2019",1476.85,263468
"May 03, 2019",1493.25,113929
"May 06, 2019",1479.05,175652
"May 07, 2019",1478.80,57445
"May 08, 2019",1453.55,175410
"May 09, 2019",1385.90,151254
"May 10, 2019",1377.15,124261
"May 13, 2019",1347.45,29755
"May 14, 2019",1374.60,165512
"May 15, 2019",1378.30,35340
"May 16, 2019",1387.25,61705
"May 17, 2019",1391.10,21627
"May 20, 2019",1437.10,49128
"May 21, 2019",1428.85,104736
"May 22, 2019",1457.15,43526
"May 23, 2019",1437.70,76310
"May 24, 2019",1496.95,76994
"May 27, 2019",1613.30,327524
"May 28, 2019",1594.50,173687
"May 29, 2019",1587.90,172554
"May 30, 2019",1574.30,31425
"May 31, 2019",1569.30,44434
"Jun 03, 2019",1593.35,89242
"Jun 04, 2019",1561.65,97405
"Jun 06, 2019",1529.80,57148
"Jun 07, 2019",1564.15,41806
"Jun 10, 2019",1563.40,196369
"Jun 11, 2019",1546.55,101534
"Jun 12, 2019",1506.55,185146
"Jun 13, 2019",1508.85,221283
"Jun 14, 2019",1511.45,110612
"Jun 17, 2019",1533.70,97243
"Jun 18, 2019",1539.60,51595
"Jun 19, 2019",1554.45,59634
"Jun 20, 2019",1566.95,38376
"Jun 21, 2019",1559.05,109088
"Jun 24, 2019",1560.90,73029
"Jun 25, 2019",1559.05,27457
"Jun 26, 2019",1601.50,138265
"Jun 27, 2019",1602.85,176106
"Jun 28, 2019",1602.45,53811
"Jul 01, 2019",1601.35,155524
"Jul 02, 2019",1600.45,63949
"Jul 03, 2019",1607.75,58485
"Jul 04, 2019",1652.00,184959
"Jul 05, 2019",1541.95,228921
"Jul 08, 2019",1482.20,125003
"Jul 09, 2019",1531.60,202265
"Jul 10, 2019",1514.20,61995
"Jul 11, 2019",1507.95,27522
"Jul 12, 2019",1500.85,38784
"Jul 15, 2019",1496.75,42645
"Jul 16, 2019",1520.45,38682
"Jul 17, 2019",1489.10,112521
"Jul 18, 2019",1454.10,63333
"Jul 19, 2019",1415.10,48356
"Jul 22, 2019",1403.90,45430
"Jul 23, 2019",1374.95,236225
"Jul 24, 2019",1361.95,62557
"Jul 25, 2019",1402.80,445967
"Jul 26, 2019",1382.05,93398
"Jul 29, 2019",1394.55,149262
"Jul 30, 2019",1358.30,291048
"Jul 31, 2019",1363.10,53331
"Aug 01, 2019",1352.65,50873
"Aug 02, 2019",1367.80,45918
"Aug 05, 2019",1379.10,58013
"Aug 06, 2019",1384.55,24380
"Aug 07, 2019",1390.55,53544
"Aug 08, 2019",1394.95,65489
"Aug 09, 2019",1396.70,31916
"Aug 13, 2019",1379.10,55372
"Aug 14, 2019",1348.95,76794
"Aug 16, 2019",1358.75,44305
"Aug 19, 2019",1370.30,43694
"Aug 20, 2019",1364.95,36489
"Aug 21, 2019",1359.35,42699
"Aug 22, 2019",1349.45,48945
"Aug 23, 2019",1339.80,56160
"Aug 26, 2019",1401.20,53101
"Aug 27, 2019",1378.50,45486
"Aug 28, 2019",1361.40,182780
"Aug 29, 2019",1332.30,134390
"Aug 30, 2019",1338.45,25835
"Sep 03, 2019",1329.75,28301
"Sep 04, 2019",1319.60,48990
"Sep 05, 2019",1316.15,21273
"Sep 06, 2019",1319.30,28271
"Sep 09, 2019",1327.85,31381
"Sep 11, 2019",1328.40,35256
"Sep 12, 2019",1334.15,23333
"Sep 13, 2019",1348.05,52412
"Sep 16, 2019",1344.65,114868
"Sep 17, 2019",1336.25,28781
"Sep 18, 2019",1325.90,26589
"Sep 19, 2019",1325.45,19465
"Sep 20, 2019",1409.10,308315
"Sep 23, 2019",1553.25,716837
"Sep 24, 2019",1573.35,137947
"Sep 25, 2019",1539.60,82712
"Sep 26, 2019",1459.90,556866
"Sep 27, 2019",1545.35,273923
"Sep 30, 2019",1515.35,156032
"Oct 01, 2019",1485.50,135969
"Oct 03, 2019",1461.10,182070
"Oct 04, 2019",1464.05,48748
"Oct 07, 2019",1465.75,28184
"Oct 09, 2019",1486.00,93666
"Oct 10, 2019",1464.45,31590
"Oct 11, 2019",1483.15,95151
"Oct 14, 2019",1478.40,125336
"Oct 15, 2019",1496.70,49536
"Oct 16, 2019",1519.50,100101
"Oct 17, 2019",1519.30,50738
"Oct 18, 2019",1556.30,192308
"Oct 22, 2019",1539.20,112943
"Oct 23, 2019",1536.55,31500
"Oct 24, 2019",1513.90,59085
"Oct 25, 2019",1495.25,27316
"Oct 27, 2019",1515.60,6183
"Oct 29, 2019",1469.65,109724
"Oct 30, 2019",1448.15,120399
"Oct 31, 2019",1458.60,283505
"Nov 01, 2019",1458.85,74552
"Nov 04, 2019",1456.70,35652
"Nov 05, 2019",1448.35,40619
"Nov 06, 2019",1461.75,55496
"Nov 07, 2019",1482.75,53442
"Nov 08, 2019",1462.70,73375
"Nov 11, 2019",1457.35,43896
"Nov 13, 2019",1497.65,357412
"Nov 14, 2019",1468.90,197909
"Nov 15, 2019",1466.35,52525
"Nov 18, 2019",1455.65,33730
"Nov 19, 2019",1474.55,43691
"Nov 20, 2019",1449.65,637863
"Nov 21, 2019",1439.20,32816
"Nov 22, 2019",1410.05,38441
"Nov 25, 2019",1407.50,47822
"Nov 26, 2019",1414.60,65478
"Nov 27, 2019",1438.85,46215
"Nov 28, 2019",1447.00,31618
"Nov 29, 2019",1447.80,58803
"Dec 02, 2019",1479.40,79049
"Dec 03, 2019",1460.70,81902
"Dec 04, 2019",1449.70,55427
"Dec 05, 2019",1440.15,149868
"Dec 06, 2019",1442.60,88519
"Dec 09, 2019",1450.15,36744
"Dec 10, 2019",1450.40,76238
"Dec 11, 2019",1458.90,77994
"Dec 12, 2019",1484.50,83689
"Dec 13, 2019",1487.25,93435
"Dec 16, 2019",1480.40,124749
"Dec 17, 2019",1474.40,44311
"Dec 18, 2019",1451.45,120958
"Dec 19, 2019",1476.00,90154
"Dec 20, 2019",1262.00,81105
"Dec 23, 2019",1261.30,49583
"Dec 24, 2019",1260.15,18108
"Dec 26, 2019",1272.15,21839
"Dec 27, 2019",1278.10,19077
"Dec 30, 2019",1295.45,29393
"Dec 31, 2019",1285.25,46306
"Jan 01, 2020",1290.00,6827
"Jan 02, 2020",1294.20,7048
"Jan 03, 2020",1322.25,32674
"Jan 06, 2020",1287.00,31293
"Jan 07, 2020",1306.75,27246
"Jan 08, 2020",1310.70,16798
"Jan 09, 2020",1322.10,49113
"Jan 10, 2020",1372.40,147240
"Jan 13, 2020",1376.85,37463
"Jan 14, 2020",1369.20,96552
"Jan 15, 2020",1327.05,89843
"Jan 16, 2020",1306.35,68577
"Jan 17, 2020",1302.75,35098
"Jan 20, 2020",1290.60,38416
"Jan 21, 2020",1310.15,37591
"Jan 22, 2020",1303.30,14625
