Date,Price,Volume
"Feb 19, 2018",151.40,176500
"Feb 20, 2018",151.85,340692
"Feb 21, 2018",149.75,123154
"Feb 22, 2018",149.75,152956
"Feb 23, 2018",150.95,158995
"Feb 26, 2018",147.75,1412595
"Feb 27, 2018",151.40,751703
"Feb 28, 2018",152.30,205239
"Mar 01, 2018",149.95,171836
"Mar 05, 2018",145.20,404338
"Mar 06, 2018",143.80,911776
"Mar 07, 2018",144.80,356341
"Mar 08, 2018",147.70,1081714
"Mar 09, 2018",144.10,444968
"Mar 12, 2018",145.05,481372
"Mar 13, 2018",150.25,284390
"Mar 14, 2018",150.10,1734208
"Mar 15, 2018",147.35,1026865
"Mar 16, 2018",141.00,800252
"Mar 19, 2018",138.35,1647705
"Mar 20, 2018",139.65,571586
"Mar 21, 2018",141.60,253825
"Mar 22, 2018",138.85,555670
"Mar 23, 2018",135.80,571749
"Mar 26, 2018",142.00,1606943
"Mar 27, 2018",143.95,636699
"Mar 28, 2018",150.85,1421156
"Apr 02, 2018",147.65,419755
"Apr 03, 2018",146.70,525457
"Apr 04, 2018",151.00,835680
"Apr 05, 2018",149.95,224163
"Apr 06, 2018",148.55,130723
"Apr 09, 2018",151.90,1123497
"Apr 10, 2018",148.75,156138
"Apr 11, 2018",149.80,524443
"Apr 12, 2018",147.70,576289
"Apr 13, 2018",145.70,308190
"Apr 16, 2018",149.60,3470624
"Apr 17, 2018",150.80,3091724
"Apr 18, 2018",147.10,324944
"Apr 19, 2018",148.50,3357138
"Apr 20, 2018",147.05,364984
"Apr 23, 2018",148.00,184263
"Apr 24, 2018",146.65,291826
"Apr 25, 2018",145.25,354323
"Apr 26, 2018",146.25,3263582
"Apr 27, 2018",145.30,181378
"Apr 30, 2018",146.75,134495
"May 02, 2018",145.75,85186
"May 03, 2018",143.85,130971
"May 04, 2018",144.20,248563
"May 07, 2018",143.50,94426
"May 08, 2018",142.05,1377228
"May 09, 2018",146.00,4206295
"May 10, 2018",144.75,968777
"May 11, 2018",150.60,4097756
"May 14, 2018",150.15,1216486
"May 15, 2018",150.95,558071
"May 16, 2018",148.80,573805
"May 17, 2018",145.70,446046
"May 18, 2018",143.65,311656
"May 21, 2018",140.40,228887
"May 22, 2018",143.85,484605
"May 23, 2018",142.90,696411
"May 24, 2018",146.15,361080
"May 25, 2018",144.80,163042
"May 28, 2018",146.35,344179
"May 29, 2018",149.25,432826
"May 30, 2018",146.80,68131
"May 31, 2018",148.30,266120
"Jun 01, 2018",145.50,232023
"Jun 04, 2018",139.80,199572
"Jun 05, 2018",139.10,356036
"Jun 06, 2018",142.35,220900
"Jun 07, 2018",140.30,173195
"Jun 08, 2018",139.20,346624
"Jun 11, 2018",138.85,324611
"Jun 12, 2018",137.90,118808
"Jun 13, 2018",138.40,172199
"Jun 14, 2018",140.05,125740
"Jun 15, 2018",141.55,255528
"Jun 18, 2018",145.20,471281
"Jun 19, 2018",146.05,389649
"Jun 20, 2018",146.05,222528
"Jun 21, 2018",146.50,186315
"Jun 22, 2018",142.65,420387
"Jun 25, 2018",139.70,264416
"Jun 26, 2018",141.15,232001
"Jun 27, 2018",139.65,253288
"Jun 28, 2018",137.90,341888
"Jun 29, 2018",138.00,316048
"Jul 02, 2018",137.45,539148
"Jul 03, 2018",139.55,202360
"Jul 04, 2018",137.90,143894
"Jul 05, 2018",136.40,136428
"Jul 06, 2018",138.85,447339
"Jul 09, 2018",138.90,238996
"Jul 10, 2018",138.95,453441
"Jul 11, 2018",141.05,758548
"Jul 12, 2018",139.30,385161
"Jul 13, 2018",136.70,195204
"Jul 16, 2018",136.70,143569
"Jul 17, 2018",135.85,88768
"Jul 18, 2018",133.60,146844
"Jul 19, 2018",136.05,246015
"Jul 20, 2018",135.05,883312
"Jul 23, 2018",137.30,79625
"Jul 24, 2018",141.00,211805
"Jul 25, 2018",139.60,94270
"Jul 26, 2018",139.90,135013
"Jul 27, 2018",140.00,175471
"Jul 30, 2018",142.50,174682
"Jul 31, 2018",140.15,368842
"Aug 01, 2018",154.35,9223138
"Aug 02, 2018",173.30,18677915
"Aug 03, 2018",170.95,3155954
"Aug 06, 2018",179.60,9079375
"Aug 07, 2018",177.25,3685492
"Aug 08, 2018",179.15,929290
"Aug 09, 2018",181.90,1670435
"Aug 10, 2018",179.60,1387038
"Aug 13, 2018",179.05,672895
"Aug 14, 2018",193.30,3704253
"Aug 16, 2018",194.50,4770803
"Aug 17, 2018",192.85,1962098
"Aug 20, 2018",191.25,2358440
"Aug 21, 2018",190.20,1314494
"Aug 23, 2018",193.60,1528627
"Aug 24, 2018",202.05,4531770
"Aug 27, 2018",209.85,4407622
"Aug 28, 2018",206.60,2852685
"Aug 29, 2018",201.10,3045800
"Aug 30, 2018",196.80,1424521
"Aug 31, 2018",198.50,1052464
"Sep 03, 2018",202.05,1419629
"Sep 04, 2018",198.70,620072
"Sep 05, 2018",201.55,976023
"Sep 06, 2018",199.30,2264576
"Sep 07, 2018",198.50,869264
"Sep 10, 2018",192.05,1365648
"Sep 11, 2018",188.65,1438437
"Sep 12, 2018",190.60,1164730
"Sep 14, 2018",192.05,653614
"Sep 17, 2018",190.00,425645
"Sep 18, 2018",188.00,620400
"Sep 19, 2018",188.20,609400
"Sep 21, 2018",182.90,1369815
"Sep 24, 2018",180.05,603474
"Sep 25, 2018",182.55,555272
"Sep 26, 2018",184.40,345016
"Sep 27, 2018",186.15,307669
"Sep 28, 2018",183.50,3619461
"Oct 01, 2018",184.80,723286
"Oct 03, 2018",182.20,759036
"Oct 04, 2018",182.55,531009
"Oct 05, 2018",180.90,746959
"Oct 08, 2018",177.30,590635
"Oct 09, 2018",175.50,928713
"Oct 10, 2018",176.20,698718
"Oct 11, 2018",175.05,2479141
"Oct 12, 2018",185.65,1723121
"Oct 15, 2018",190.70,567207
"Oct 16, 2018",195.20,1178634
"Oct 17, 2018",186.20,1539063
"Oct 19, 2018",181.90,644806
"Oct 22, 2018",177.40,465108
"Oct 23, 2018",172.75,330954
"Oct 24, 2018",174.55,535528
"Oct 25, 2018",173.80,224686
"Oct 26, 2018",177.65,327075
"Oct 29, 2018",179.55,387245
"Oct 30, 2018",180.25,315475
"Oct 31, 2018",180.10,357146
"Nov 01, 2018",187.25,1656030
"Nov 02, 2018",193.15,4058147
"Nov 05, 2018",192.50,1737317
"Nov 06, 2018",187.20,787200
"Nov 07, 2018",187.35,70041
"Nov 09, 2018",189.35,1271064
"Nov 12, 2018",192.85,1066817
"Nov 13, 2018",192.85,990045
"Nov 14, 2018",190.60,566831
