Date,Price,Volume
"Jun 18, 2018",31.50,7006229
"Jun 19, 2018",32.60,2895692
"Jun 20, 2018",31.00,1115553
"Jun 21, 2018",29.65,2854524
"Jun 22, 2018",29.45,1612972
"Jun 25, 2018",28.95,365859
"Jun 26, 2018",28.80,493868
"Jun 27, 2018",27.40,133412
"Jun 28, 2018",26.05,61587
"Jun 29, 2018",26.80,1158865
"Jul 02, 2018",25.20,1369795
"Jul 03, 2018",26.35,519628
"Jul 04, 2018",29.60,1033451
"Jul 05, 2018",29.80,1546192
"Jul 06, 2018",30.35,523472
"Jul 09, 2018",30.95,616718
"Jul 10, 2018",31.10,492511
"Jul 11, 2018",31.95,1610144
"Jul 12, 2018",31.10,524503
"Jul 13, 2018",31.45,770830
"Jul 16, 2018",31.10,696778
"Jul 17, 2018",31.45,557931
"Jul 18, 2018",29.75,497514
"Jul 19, 2018",29.70,469529
"Jul 20, 2018",35.40,5891772
"Jul 23, 2018",42.45,2766587
"Jul 24, 2018",46.65,1510186
"Jul 25, 2018",51.30,868232
"Jul 26, 2018",52.90,6847468
"Jul 27, 2018",52.35,1425686
"Jul 30, 2018",57.55,2011508
"Jul 31, 2018",60.40,3461295
"Aug 01, 2018",63.40,1023345
"Aug 02, 2018",66.55,162902
"Aug 03, 2018",69.85,116347
"Aug 06, 2018",73.30,66210
"Aug 07, 2018",69.65,1031350
"Aug 08, 2018",66.20,71603
"Aug 09, 2018",62.90,130477
"Aug 10, 2018",66.00,3789655
"Aug 13, 2018",62.70,262033
"Aug 14, 2018",59.60,117253
"Aug 16, 2018",56.65,82087
"Aug 17, 2018",54.70,4325129
"Aug 20, 2018",57.40,585571
"Aug 21, 2018",57.10,2223954
"Aug 23, 2018",57.20,946929
"Aug 24, 2018",55.55,544872
"Aug 27, 2018",55.50,1065753
"Aug 28, 2018",58.25,895093
"Aug 29, 2018",60.90,3048560
"Aug 30, 2018",59.05,927625
"Aug 31, 2018",57.40,611779
"Sep 03, 2018",55.90,444735
"Sep 04, 2018",53.50,528265
"Sep 05, 2018",52.25,476641
"Sep 06, 2018",54.85,773528
"Sep 07, 2018",55.70,470728
"Sep 10, 2018",54.05,277861
"Sep 11, 2018",52.50,281671
"Sep 12, 2018",52.65,248721
"Sep 14, 2018",55.25,335372
"Sep 17, 2018",53.75,383467
"Sep 18, 2018",53.30,190458
"Sep 19, 2018",51.80,242903
"Sep 21, 2018",49.25,871518
"Sep 24, 2018",46.80,298844
"Sep 25, 2018",44.55,554878
"Sep 26, 2018",45.20,757920
"Sep 27, 2018",42.95,370953
"Sep 28, 2018",40.85,241990
"Oct 01, 2018",39.20,715774
"Oct 03, 2018",37.25,610429
"Oct 04, 2018",35.40,103762
"Oct 05, 2018",33.65,80519
"Oct 08, 2018",32.00,1125121
"Oct 09, 2018",30.40,1129990
"Oct 10, 2018",31.90,310963
"Oct 11, 2018",33.45,351022
"Oct 12, 2018",35.10,170930
"Oct 15, 2018",36.85,2501987
"Oct 16, 2018",38.65,1241610
"Oct 17, 2018",39.35,2436836
"Oct 19, 2018",37.40,633110
"Oct 22, 2018",35.75,421538
"Oct 23, 2018",35.25,498569
"Oct 24, 2018",37.00,856135
"Oct 25, 2018",36.20,539990
"Oct 26, 2018",36.20,276450
"Oct 29, 2018",38.00,1008595
"Oct 30, 2018",39.30,3882939
"Oct 31, 2018",39.65,2857119
"Nov 01, 2018",41.05,1500492
"Nov 02, 2018",41.30,948252
"Nov 05, 2018",43.35,664924
"Nov 06, 2018",43.10,1558886
"Nov 07, 2018",45.05,1009337
"Nov 09, 2018",45.25,728245
"Nov 12, 2018",43.10,488369
"Nov 13, 2018",42.10,435533
"Nov 14, 2018",42.70,412768
"Nov 15, 2018",43.35,367324
"Nov 16, 2018",42.35,499103
"Nov 19, 2018",41.25,294550
"Nov 20, 2018",41.45,364290
"Nov 21, 2018",43.50,595503
"Nov 22, 2018",45.65,1334318
"Nov 26, 2018",47.90,1426646
"Nov 27, 2018",49.45,1095967
"Nov 28, 2018",48.40,1512866
"Nov 29, 2018",47.45,628832
"Nov 30, 2018",46.75,345988
"Dec 03, 2018",46.05,317022
"Dec 04, 2018",45.10,331553
"Dec 05, 2018",46.80,1337441
"Dec 06, 2018",45.20,650624
"Dec 07, 2018",44.45,469921
"Dec 10, 2018",41.30,362344
"Dec 11, 2018",43.35,910217
"Dec 12, 2018",44.80,444342
"Dec 13, 2018",44.30,205559
"Dec 14, 2018",44.15,269581
"Dec 17, 2018",44.65,200093
"Dec 18, 2018",44.25,1217941
"Dec 19, 2018",44.15,341189
"Dec 20, 2018",43.95,369104
"Dec 21, 2018",42.50,443037
"Dec 24, 2018",42.15,174059
"Dec 26, 2018",41.55,517905
"Dec 27, 2018",41.45,212220
"Dec 28, 2018",41.70,233894
"Dec 31, 2018",41.85,211687
"Jan 01, 2019",41.40,105166
"Jan 02, 2019",41.15,288827
"Jan 03, 2019",40.95,211035
"Jan 04, 2019",40.55,169984
"Jan 07, 2019",41.10,292864
"Jan 08, 2019",40.75,259216
"Jan 09, 2019",40.65,160411
"Jan 10, 2019",40.65,82567
"Jan 11, 2019",39.75,346640
"Jan 14, 2019",39.60,269872
"Jan 15, 2019",38.75,228070
"Jan 16, 2019",39.15,167243
"Jan 17, 2019",39.65,221463
"Jan 18, 2019",38.75,180157
"Jan 21, 2019",37.95,113138
"Jan 22, 2019",37.75,243342
"Jan 23, 2019",37.95,113541
"Jan 24, 2019",37.35,119053
"Jan 25, 2019",35.10,250182
"Jan 28, 2019",32.50,770899
"Jan 29, 2019",34.90,542956
"Jan 30, 2019",37.30,529540
"Jan 31, 2019",35.60,733194
"Feb 01, 2019",35.75,352935
"Feb 04, 2019",33.85,251417
"Feb 05, 2019",32.95,192834
"Feb 06, 2019",33.10,345009
"Feb 07, 2019",34.40,1211335
"Feb 08, 2019",33.90,190270
"Feb 11, 2019",32.85,198956
"Feb 12, 2019",32.10,216299
"Feb 14, 2019",31.95,418342
"Feb 15, 2019",31.00,438733
"Feb 18, 2019",30.25,238514
"Feb 19, 2019",30.80,200552
"Feb 20, 2019",30.95,220599
"Feb 21, 2019",30.85,320492
"Feb 22, 2019",32.70,788757
"Feb 25, 2019",32.95,493358
"Feb 26, 2019",32.90,602009
"Feb 27, 2019",32.90,918227
"Feb 28, 2019",33.05,305906
"Mar 01, 2019",34.20,1019350
"Mar 05, 2019",36.25,1423360
"Mar 06, 2019",35.40,976586
"Mar 07, 2019",35.60,816819
"Mar 08, 2019",35.00,552247
"Mar 11, 2019",36.15,515567
"Mar 12, 2019",39.10,3374322
"Mar 13, 2019",39.75,2123795
"Mar 14, 2019",38.55,791109
"Mar 15, 2019",37.80,886002
"Mar 18, 2019",37.40,591667
"Mar 19, 2019",37.10,514591
"Mar 20, 2019",36.45,458645
"Mar 22, 2019",36.00,505496
"Mar 25, 2019",35.15,426556
"Mar 26, 2019",35.95,480545
"Mar 27, 2019",35.55,366621
"Mar 28, 2019",35.85,498011
"Apr 01, 2019",38.70,780251
"Apr 02, 2019",37.75,785107
"Apr 03, 2019",37.25,368043
"Apr 04, 2019",36.95,425277
"Apr 05, 2019",36.65,258016
"Apr 08, 2019",36.25,680431
"Apr 09, 2019",37.00,434729
"Apr 10, 2019",36.95,446323
"Apr 11, 2019",36.00,592636
"Apr 12, 2019",37.00,716786
"Apr 15, 2019",37.45,598604
"Apr 16, 2019",44.50,10783405
"Apr 18, 2019",45.00,7207777
"Apr 22, 2019",44.75,2596859
"Apr 23, 2019",44.20,1041669
"Apr 24, 2019",44.70,867612
"Apr 25, 2019",43.80,599113
"Apr 26, 2019",43.00,648948
"Apr 30, 2019",40.05,958201
"May 02, 2019",41.80,1313437
"May 03, 2019",41.90,432762
"May 06, 2019",40.20,482271
"May 07, 2019",39.45,752888
"May 08, 2019",38.05,793079
"May 09, 2019",39.15,704888
"May 10, 2019",39.10,389550
"May 13, 2019",37.80,388130
"May 14, 2019",37.70,551588
"May 15, 2019",37.50,991433
"May 16, 2019",36.60,750015
"May 17, 2019",37.40,605735
"May 20, 2019",43.10,2765726
"May 21, 2019",43.35,2839782
"May 22, 2019",43.95,1366431
"May 23, 2019",43.40,3296384
