Date,Price,Volume
"Feb 19, 2018",25058.55,265300
"Mar 05, 2018",24818.70,134500
"May 02, 2018",25568.30,114400
"May 03, 2018",25605.25,97400
"May 04, 2018",25645.40,94400
"Aug 16, 2018",27826.55,179500
"Aug 17, 2018",28128.55,151600
"Aug 20, 2018",28274.25,172500
"Aug 21, 2018",28257.90,138100
"Sep 03, 2018",27819.50,123200
"Oct 03, 2018",25069.90,253300
"Jan 08, 2019",27509.50,146100
"Feb 01, 2019",27085.95,231600
"May 27, 2019",31647.65,232000
"Jun 06, 2019",30857.40,274600
"Jul 04, 2019",31471.85,242986000
"Jul 22, 2019",29284.95,339800
"Aug 02, 2019",28204.95,310300
"Oct 01, 2019",28725.50,1187300
"Nov 07, 2019",30633.15,364800
"Nov 28, 2019",32122.95,498300
"Dec 04, 2019",31979.30,516800
"Dec 05, 2019",31712.95,393300
"Dec 06, 2019",31341.55,485400
"Dec 09, 2019",31316.65,494500
"Dec 10, 2019",31160.35,505400
"Dec 11, 2019",31256.75,815400
"Dec 12, 2019",31665.45,529700
"Dec 13, 2019",32014.25,390500
"Dec 16, 2019",31974.20,306000
"Dec 17, 2019",32140.25,259900
"Dec 18, 2019",32244.25,258800
"Dec 19, 2019",32241.45,436900
"Dec 20, 2019",32384.95,535200
"Dec 23, 2019",32339.45,391500
"Dec 24, 2019",32280.75,330800
"Dec 26, 2019",31997.70,339800
"Dec 27, 2019",32412.35,332400
"Dec 31, 2019",32161.65,251400
"Jan 02, 2020",32443.85,253600
"Jan 03, 2020",32069.25,217600
"Jan 06, 2020",31237.15,256200
"Jan 07, 2020",31399.40,294400
"Jan 08, 2020",31373.65,304500
"Jan 09, 2020",32092.40,308000
"Jan 10, 2020",32097.40,444700
"Jan 13, 2020",32177.65,291400
"Jan 14, 2020",32071.65,438900
"Jan 15, 2020",31824.90,545700
"Jan 16, 2020",31853.90,253700
"Jan 17, 2020",31590.65,308100
"Jan 20, 2020",31080.65,282200
"Jan 21, 2020",30947.55,227500
"Jan 22, 2020",30701.45,200600
"Jan 23, 2020",31004.05,343800
"Jan 24, 2020",31241.75,424600
"Jan 27, 2020",30837.40,309900
"Jan 28, 2020",30761.40,239600
"Jan 29, 2020",30877.00,268800
"Jan 30, 2020",30647.40,328900
"Jan 31, 2020",30833.60,333400
"Feb 03, 2020",30023.25,337100
"Feb 04, 2020",30686.70,336600
"Feb 05, 2020",31001.95,427600
"Feb 06, 2020",31304.05,334000
"Feb 07, 2020",31201.95,254400
"Feb 10, 2020",31058.15,239700
"Feb 11, 2020",31300.60,198900
"Feb 12, 2020",31492.90,226000
"Feb 13, 2020",31230.25,303000
"Feb 14, 2020",30834.80,341400
"Feb 18, 2020",30562.50,398900
"Feb 19, 2020",30838.20,268800
"Feb 20, 2020",30942.85,273100
"Feb 24, 2020",30455.10,254200
"Feb 25, 2020",30432.70,215900
"Feb 26, 2020",30306.85,291000
"Feb 27, 2020",30187.00,358000
"Feb 28, 2020",29147.15,386900
"Mar 02, 2020",28868.40,368300
"Mar 03, 2020",29177.05,367300
"Mar 04, 2020",28653.70,425800
"Mar 05, 2020",28815.35,1075700
"Mar 06, 2020",27801.45,1568100
"Mar 09, 2020",26462.60,1059000
"Mar 11, 2020",26487.80,723300
"Mar 12, 2020",23971.15,760600
"Mar 13, 2020",25166.45,783400
"Mar 16, 2020",23101.15,481900
"Mar 17, 2020",22155.15,537700
"Mar 18, 2020",20580.20,875300
"Mar 19, 2020",20083.50,476600
"Mar 20, 2020",20317.60,501800
"Mar 23, 2020",16917.65,307600
"Mar 24, 2020",17107.30,391700
"Mar 25, 2020",18481.05,394600
"Mar 26, 2020",19613.90,482900
"Mar 27, 2020",19969.00,539400
"Mar 30, 2020",18782.40,327000
"Mar 31, 2020",19144.00,309800
"Apr 01, 2020",18208.35,274900
"Apr 03, 2020",17249.30,342500
"Apr 07, 2020",19062.50,435400
"Apr 08, 2020",18946.45,508400
"Apr 09, 2020",19913.60,390000
"Apr 13, 2020",19488.00,288200
"Apr 15, 2020",19057.05,389900
"Apr 16, 2020",19400.00,350300
"Apr 17, 2020",20681.45,475000
"Apr 20, 2020",20522.65,438600
"Apr 21, 2020",19409.35,311900
"Apr 22, 2020",19701.85,349400
"Apr 23, 2020",20267.95,325400
"Apr 24, 2020",19586.65,305700
"Apr 27, 2020",20081.15,299900
"Apr 28, 2020",20671.10,367800
"Apr 29, 2020",21090.20,400600
"Apr 30, 2020",21534.50,471500
"May 04, 2020",19743.75,328800
"May 05, 2020",19271.75,381300
"May 06, 2020",19694.55,395600
"May 07, 2020",19491.80,300100
"May 11, 2020",18950.50,342600
"May 12, 2020",18862.85,395400
"May 13, 2020",19634.95,520800
"May 14, 2020",19068.50,333000
"May 15, 2020",18833.95,240600
"May 18, 2020",17573.20,434800
"May 19, 2020",17486.25,415500
"May 20, 2020",17840.20,326200
"May 21, 2020",17735.10,347600
"May 22, 2020",17278.90,484800
"May 26, 2020",17440.35,336800
"May 27, 2020",18710.55,538000
"May 28, 2020",19169.80,561100
"May 29, 2020",19297.25,581700
"Jun 01, 2020",19959.90,558100
"Jun 02, 2020",20530.20,448300
"Jun 03, 2020",20940.70,616900
"Jun 04, 2020",20390.45,587900
"Jun 05, 2020",21034.50,637400
"Jun 08, 2020",21187.35,748100
"Jun 09, 2020",20724.90,641200
"Jun 10, 2020",21100.10,583000
"Jun 11, 2020",20525.15,747100
"Jun 12, 2020",20654.55,599200
"Jun 22, 2020",21708.35,664600
"Jun 23, 2020",22264.90,527900
"Jun 24, 2020",21426.80,684600
"Jun 25, 2020",21506.15,586200
"Jun 26, 2020",21592.05,375600
"Jun 29, 2020",21359.00,328000
"Jun 30, 2020",21370.15,292700
"Jul 01, 2020",21977.60,386000
"Jul 02, 2020",21953.20,399000
"Jul 03, 2020",21852.40,256200
"Jul 06, 2020",22198.95,290900
"Jul 07, 2020",22628.00,455800
"Jul 08, 2020",22584.65,673100
"Jul 09, 2020",22907.20,356000
"Jul 10, 2020",22398.45,457100
"Jul 13, 2020",22089.25,293700
"Jul 14, 2020",21392.20,338500
"Jul 15, 2020",21340.75,359100
"Jul 16, 2020",21597.15,348600
"Jul 17, 2020",21966.80,294900
"Jul 20, 2020",22321.85,349700
"Jul 21, 2020",22782.00,316700
"Jul 22, 2020",22882.60,412700
"Jul 23, 2020",23083.90,307600
"Jul 24, 2020",22662.05,436300
"Jul 27, 2020",21848.75,340900
"Jul 28, 2020",22105.20,379800
"Jul 29, 2020",22076.60,400400
"Jul 30, 2020",21646.85,299600
"Jul 31, 2020",21640.05,397300
"Aug 03, 2020",21072.10,431000
"Aug 05, 2020",21509.95,338800
"Aug 06, 2020",21642.60,386600
"Aug 07, 2020",21754.00,378600
"Aug 10, 2020",21900.25,261800
"Aug 11, 2020",22227.20,377900
"Aug 12, 2020",22264.00,507500
"Aug 13, 2020",22196.35,289100
"Aug 14, 2020",21679.40,318800
"Aug 17, 2020",21700.85,263400
"Sep 07, 2020",22945.05,245300
"Nov 26, 2020",29549.75,369400
"Dec 14, 2020",30745.90,269000
"Dec 15, 2020",30691.05,279400
"Jan 18, 2021",31811.75,396800
"Jan 19, 2021",32424.85,354800
"Feb 02, 2021",34267.90,672200
"Feb 03, 2021",34758.45,605200
"Feb 24, 2021",36452.30,272900
"Feb 25, 2021",36549.00,455900
"Mar 30, 2021",33875.10,374200
"Apr 22, 2021",31782.60,368400
"May 03, 2021",32465.75,351000
"May 04, 2021",32270.35,786800
"Jul 01, 2021",34684.00,164000
"Jul 02, 2021",34809.90,165600
"Aug 10, 2021",36034.10,201200
"Aug 11, 2021",35806.40,200200
"Aug 12, 2021",35937.05,122300
"Aug 13, 2021",36169.35,125800
"Aug 16, 2021",36094.50,87300
"Aug 17, 2021",35867.45,118300
"Aug 18, 2021",35554.50,140500
"Aug 20, 2021",35033.85,181200
"Aug 23, 2021",35124.40,174200
"Aug 24, 2021",35712.10,173600
"Aug 25, 2021",35586.25,144300
"Aug 26, 2021",35617.55,136400
"Aug 27, 2021",35627.80,120900
"Aug 30, 2021",36347.65,150400
"Aug 31, 2021",36424.60,210300
"Sep 01, 2021",36574.30,181500
"Sep 02, 2021",36831.30,118900
"Sep 03, 2021",36761.15,155600
"Sep 06, 2021",36592.35,88600
"Sep 07, 2021",36468.80,124500
"Sep 08, 2021",36768.20,175800
"Sep 09, 2021",36683.20,83600
"Sep 13, 2021",36471.80,82200
"Sep 14, 2021",36613.05,109300
"Sep 15, 2021",36852.25,177900
"Sep 16, 2021",37668.60,423100
"Sep 17, 2021",37811.95,335100
"Sep 20, 2021",37145.70,152000
"Sep 21, 2021",37235.85,154000
"Sep 22, 2021",36944.65,106400
"Sep 23, 2021",37771.70,139100
"Sep 24, 2021",37830.30,138400
"Sep 27, 2021",38171.25,113000
"Sep 28, 2021",37945.00,201000
"Sep 29, 2021",37743.00,260500
"Sep 30, 2021",37425.10,235100
"Oct 01, 2021",37225.90,189200
"Oct 04, 2021",37579.65,146400
"Oct 05, 2021",37741.00,153100
"Oct 06, 2021",37521.55,204200
