Date,Price,Volume
"Feb 19, 2018",305.40,2935183
"Feb 20, 2018",310.40,8602002
"Feb 21, 2018",310.55,5399556
"Feb 22, 2018",311.55,7815886
"Feb 23, 2018",310.95,3195456
"Feb 26, 2018",314.05,3171308
"Feb 27, 2018",309.00,6667601
"Feb 28, 2018",309.15,3731061
"Mar 01, 2018",312.90,2535090
"Mar 05, 2018",305.80,3593849
"Mar 06, 2018",307.00,3693197
"Mar 07, 2018",306.95,4794848
"Mar 08, 2018",305.50,2236174
"Mar 09, 2018",304.05,2136347
"Mar 12, 2018",297.65,6796993
"Mar 13, 2018",294.85,6306692
"Mar 14, 2018",293.10,4406927
"Mar 15, 2018",295.50,4487868
"Mar 16, 2018",278.20,11016304
"Mar 19, 2018",272.30,3588096
"Mar 20, 2018",270.25,1804554
"Mar 21, 2018",270.90,2739537
"Mar 22, 2018",269.40,3383841
"Mar 23, 2018",269.95,3980861
"Mar 26, 2018",273.45,2277261
"Mar 27, 2018",276.20,1888128
"Mar 28, 2018",283.30,6983849
"Apr 02, 2018",277.50,2520975
"Apr 03, 2018",278.95,1641179
"Apr 04, 2018",274.55,2946453
"Apr 05, 2018",277.80,1527043
"Apr 06, 2018",275.80,1527251
"Apr 09, 2018",274.45,1254956
"Apr 10, 2018",280.90,2351145
"Apr 11, 2018",283.40,2997141
"Apr 12, 2018",281.50,1342136
"Apr 13, 2018",285.00,1836917
"Apr 16, 2018",286.10,1222199
"Apr 17, 2018",287.60,2999531
"Apr 18, 2018",285.10,1433406
"Apr 19, 2018",283.20,2332176
"Apr 20, 2018",292.05,2436310
"Apr 23, 2018",289.80,1181306
"Apr 24, 2018",290.50,1829965
"Apr 25, 2018",290.95,1612503
"Apr 26, 2018",290.80,2781512
"Apr 27, 2018",286.75,2211983
"Apr 30, 2018",285.00,1710033
"May 02, 2018",280.50,2440058
"May 03, 2018",276.95,2411190
"May 04, 2018",271.30,2313612
"May 07, 2018",267.40,7181257
"May 08, 2018",268.15,3920562
"May 09, 2018",267.35,3216449
"May 10, 2018",269.35,3974135
"May 11, 2018",271.00,1778138
"May 14, 2018",270.05,2415819
"May 15, 2018",263.50,3867561
"May 16, 2018",263.50,2942029
"May 17, 2018",271.50,3850511
"May 18, 2018",266.80,1855482
"May 21, 2018",270.25,1798554
"May 22, 2018",279.05,3295864
"May 23, 2018",276.20,2640683
"May 24, 2018",280.10,2006694
"May 25, 2018",275.60,4274746
"May 28, 2018",284.80,3113235
"May 29, 2018",282.35,5934011
"May 30, 2018",289.05,9094869
"May 31, 2018",296.25,11797649
"Jun 01, 2018",294.65,3034848
"Jun 04, 2018",292.60,1557911
"Jun 05, 2018",285.25,2305088
"Jun 06, 2018",290.65,5630857
"Jun 07, 2018",288.90,2392349
"Jun 08, 2018",289.90,2039196
"Jun 11, 2018",287.90,1745576
"Jun 12, 2018",283.55,2079573
"Jun 13, 2018",284.00,2546696
"Jun 14, 2018",283.20,1535853
"Jun 15, 2018",279.05,4279134
"Jun 18, 2018",274.20,2113771
"Jun 19, 2018",272.95,1987334
"Jun 20, 2018",270.60,3006367
"Jun 21, 2018",267.70,2506852
"Jun 22, 2018",264.85,2527709
"Jun 25, 2018",259.00,4317400
"Jun 26, 2018",265.15,10472162
"Jun 27, 2018",265.90,4723986
"Jun 28, 2018",260.65,4384958
"Jun 29, 2018",264.35,1958214
"Jul 02, 2018",260.55,4878924
"Jul 03, 2018",260.85,2691217
"Jul 04, 2018",264.35,3032831
"Jul 05, 2018",270.30,3044656
"Jul 06, 2018",271.20,2709932
"Jul 09, 2018",271.15,2201363
"Jul 10, 2018",278.45,3000636
"Jul 11, 2018",264.80,4356413
"Jul 12, 2018",265.25,3818705
"Jul 13, 2018",267.80,3573660
"Jul 16, 2018",261.15,1565561
"Jul 17, 2018",264.75,2595243
"Jul 18, 2018",262.15,4114829
"Jul 19, 2018",261.20,2026082
"Jul 20, 2018",263.50,1742907
"Jul 23, 2018",261.70,1628803
"Jul 24, 2018",266.65,1788316
"Jul 25, 2018",264.65,1739791
"Jul 26, 2018",265.10,5067703
"Jul 27, 2018",262.15,1894632
"Jul 30, 2018",262.50,2942350
"Jul 31, 2018",261.10,2740402
"Aug 01, 2018",270.65,5612544
"Aug 02, 2018",273.55,4956127
"Aug 03, 2018",279.25,4085402
"Aug 06, 2018",283.15,3484913
"Aug 07, 2018",275.40,7450244
"Aug 08, 2018",276.00,2520870
"Aug 09, 2018",280.10,2927225
"Aug 10, 2018",275.80,3772563
"Aug 13, 2018",279.05,11139623
"Aug 14, 2018",282.65,4627652
"Aug 16, 2018",282.70,5176282
"Aug 17, 2018",281.40,2099688
"Aug 20, 2018",284.05,3933773
"Aug 21, 2018",291.40,9141975
"Aug 23, 2018",289.05,2519637
"Aug 24, 2018",291.00,2713583
"Aug 27, 2018",293.15,2254135
"Aug 28, 2018",294.70,5513680
"Aug 29, 2018",286.30,4002186
"Aug 30, 2018",285.60,3861403
"Aug 31, 2018",285.95,3716997
"Sep 03, 2018",287.65,1649749
"Sep 04, 2018",279.60,2288405
"Sep 05, 2018",277.60,3826466
"Sep 06, 2018",283.65,2999616
"Sep 07, 2018",286.55,2997117
"Sep 10, 2018",279.60,1481435
"Sep 11, 2018",283.10,4990180
"Sep 12, 2018",281.55,2444610
"Sep 14, 2018",277.35,2742349
"Sep 17, 2018",274.95,2919286
"Sep 18, 2018",273.20,6420009
"Sep 19, 2018",280.65,4919007
"Sep 21, 2018",275.25,6865912
"Sep 24, 2018",281.15,3100325
"Sep 25, 2018",275.25,3583776
"Sep 26, 2018",272.55,2300500
"Sep 27, 2018",276.25,8043170
"Sep 28, 2018",266.25,5726123
"Oct 01, 2018",272.80,2087868
"Oct 03, 2018",276.75,2987093
"Oct 04, 2018",273.30,3688374
"Oct 05, 2018",263.00,4049564
"Oct 08, 2018",267.90,3474214
"Oct 09, 2018",273.95,4336163
"Oct 10, 2018",272.70,3200859
"Oct 11, 2018",266.60,3417428
"Oct 12, 2018",278.60,2924606
"Oct 15, 2018",275.65,1601283
"Oct 16, 2018",276.40,1333617
"Oct 17, 2018",279.90,3081043
"Oct 19, 2018",275.15,3796642
"Oct 22, 2018",275.50,2396693
"Oct 23, 2018",277.35,2496068
"Oct 24, 2018",277.25,4457722
"Oct 25, 2018",282.20,4386393
"Oct 26, 2018",281.10,3061111
"Oct 29, 2018",287.40,2467759
"Oct 30, 2018",275.85,2757658
"Oct 31, 2018",266.15,17306128
"Nov 01, 2018",261.10,10473803
"Nov 02, 2018",261.55,38131025
"Nov 05, 2018",264.35,4885178
"Nov 06, 2018",265.90,3082375
"Nov 07, 2018",266.95,791919
"Nov 09, 2018",268.45,10993780
"Nov 12, 2018",263.90,4675510
"Nov 13, 2018",265.55,6900299
"Nov 14, 2018",265.75,2565400
"Nov 15, 2018",263.15,1915858
"Nov 16, 2018",263.65,3068376
"Nov 19, 2018",264.15,3190105
"Nov 20, 2018",261.45,4253683
"Nov 21, 2018",260.95,4772956
"Nov 22, 2018",256.65,2679794
"Nov 26, 2018",250.75,9857080
"Nov 27, 2018",251.90,4368734
"Nov 28, 2018",247.85,8248590
"Nov 29, 2018",246.90,18393945
"Nov 30, 2018",244.90,12789209
"Dec 03, 2018",249.00,6676768
"Dec 04, 2018",252.25,4526954
"Dec 05, 2018",245.30,3578109
"Dec 06, 2018",240.60,4379973
"Dec 07, 2018",236.75,6098755
"Dec 10, 2018",238.15,17424227
"Dec 11, 2018",242.10,8502316
"Dec 12, 2018",247.00,9121577
"Dec 13, 2018",244.55,6797383
"Dec 14, 2018",247.15,7521713
"Dec 17, 2018",251.45,9686146
"Dec 18, 2018",251.85,6477964
"Dec 19, 2018",251.00,5294565
"Dec 20, 2018",250.55,8601671
"Dec 21, 2018",252.75,12802364
"Dec 24, 2018",248.30,4368190
"Dec 26, 2018",247.05,5069728
"Dec 27, 2018",250.20,26011475
"Dec 28, 2018",242.30,10583895
"Dec 31, 2018",240.75,3549194
"Jan 01, 2019",241.50,2227003
"Jan 02, 2019",236.70,3897893
"Jan 03, 2019",235.00,5664136
"Jan 04, 2019",236.50,2885669
"Jan 07, 2019",234.50,7347326
"Jan 08, 2019",233.30,4206563
"Jan 09, 2019",232.65,2954253
"Jan 10, 2019",233.00,2292058
"Jan 11, 2019",232.25,2446815
"Jan 14, 2019",230.90,2273231
"Jan 15, 2019",232.65,2323323
"Jan 16, 2019",232.05,2050899
"Jan 17, 2019",232.05,3220136
"Jan 18, 2019",230.00,2944908
"Jan 21, 2019",229.00,1904575
"Jan 22, 2019",227.75,4564028
"Jan 23, 2019",225.55,2328748
"Jan 24, 2019",223.85,2838220
"Jan 25, 2019",220.95,3432012
"Jan 28, 2019",225.20,3917992
"Jan 29, 2019",222.55,3850399
"Jan 30, 2019",225.20,7349253
"Jan 31, 2019",224.65,15389786
"Feb 01, 2019",223.20,2820146
"Feb 04, 2019",222.10,3417620
"Feb 05, 2019",216.40,5557034
"Feb 06, 2019",219.95,3707342
"Feb 07, 2019",224.20,3111207
"Feb 08, 2019",218.65,2962142
"Feb 11, 2019",218.80,4580373
"Feb 12, 2019",223.05,7857592
"Feb 14, 2019",217.20,14953813
"Feb 15, 2019",219.95,11511255
"Feb 18, 2019",215.15,3651021
"Feb 19, 2019",214.25,5288764
"Feb 20, 2019",214.95,6637981
"Feb 21, 2019",213.70,4081685
"Feb 22, 2019",214.95,5229408
"Feb 25, 2019",214.35,9386982
"Feb 26, 2019",220.15,11886116
"Feb 27, 2019",221.45,8604781
"Feb 28, 2019",228.30,32625237
"Mar 01, 2019",232.65,9526492
"Mar 05, 2019",241.15,9391114
"Mar 06, 2019",242.75,9535153
"Mar 07, 2019",235.00,7181084
"Mar 08, 2019",234.90,12803612
"Mar 11, 2019",243.40,19931174
"Mar 12, 2019",242.95,9766818
"Mar 13, 2019",238.65,17949230
"Mar 14, 2019",243.20,13627811
"Mar 15, 2019",244.35,16465364
"Mar 18, 2019",244.20,5518089
"Mar 19, 2019",242.90,10839789
"Mar 20, 2019",237.00,20268896
"Mar 22, 2019",231.95,14139706
"Mar 25, 2019",237.20,7458064
"Mar 26, 2019",236.45,7475564
"Mar 27, 2019",234.45,4777913
"Mar 28, 2019",236.10,20584925
"Apr 01, 2019",236.40,13985622
"Apr 02, 2019",236.40,7356923
"Apr 03, 2019",234.10,5120392
"Apr 04, 2019",234.80,3948463
"Apr 05, 2019",234.70,3044309
"Apr 08, 2019",232.95,4374595
"Apr 09, 2019",238.40,9383394
"Apr 10, 2019",240.05,8657560
"Apr 11, 2019",240.95,3347291
"Apr 12, 2019",240.80,3442878
"Apr 15, 2019",250.00,15659370
"Apr 16, 2019",251.60,71315879
"Apr 18, 2019",251.45,7981706
"Apr 22, 2019",252.05,4703770
"Apr 23, 2019",255.50,7446838
"Apr 24, 2019",254.00,14221692
"Apr 25, 2019",251.65,20305140
"Apr 26, 2019",250.50,2428140
"Apr 30, 2019",252.15,6190464
"May 02, 2019",252.35,5411707
"May 03, 2019",252.10,5010129
"May 06, 2019",251.35,3270067
"May 07, 2019",248.80,4320204
"May 08, 2019",249.10,4215463
"May 09, 2019",242.30,6993406
"May 10, 2019",241.25,5294698
"May 13, 2019",242.10,3539800
"May 14, 2019",241.80,3301180
"May 15, 2019",235.10,5134147
"May 16, 2019",232.15,4788978
"May 17, 2019",236.15,7517604
"May 20, 2019",237.70,6976701
"May 21, 2019",237.20,5817365
"May 22, 2019",241.25,3916767
"May 23, 2019",244.15,4979182
"May 24, 2019",244.90,2407824
"May 27, 2019",244.10,1947123
"May 28, 2019",250.70,13294021
"May 29, 2019",250.70,3325742
"May 30, 2019",252.95,16592348
"May 31, 2019",253.50,22235393
"Jun 03, 2019",260.90,6895062
"Jun 04, 2019",263.40,6111033
"Jun 06, 2019",269.15,11211307
"Jun 07, 2019",265.55,4860923
"Jun 10, 2019",259.30,4916941
"Jun 11, 2019",258.75,4303321
"Jun 12, 2019",257.00,3093642
"Jun 13, 2019",255.60,3433631
"Jun 14, 2019",255.15,2805760
"Jun 17, 2019",255.30,5008880
"Jun 18, 2019",260.35,4171426
"Jun 19, 2019",257.05,2982858
"Jun 20, 2019",260.35,3042607
"Jun 21, 2019",254.25,20185830
"Jun 24, 2019",256.75,2633348
"Jun 25, 2019",258.35,2590646
"Jun 26, 2019",260.30,4030718
"Jun 27, 2019",259.40,13174124
"Jun 28, 2019",253.80,4626498
"Jul 01, 2019",249.25,4839632
"Jul 02, 2019",252.70,3955456
"Jul 03, 2019",250.95,2828456
"Jul 04, 2019",251.10,2555817
"Jul 05, 2019",241.90,4271783
"Jul 08, 2019",232.40,4588708
"Jul 09, 2019",229.60,9158261
"Jul 10, 2019",233.35,5900374
"Jul 11, 2019",234.90,4033341
"Jul 12, 2019",231.25,6741721
"Jul 15, 2019",230.40,3265924
"Jul 16, 2019",232.80,3739400
"Jul 17, 2019",230.00,5404435
"Jul 18, 2019",220.30,8729774
"Jul 19, 2019",221.90,19100281
"Jul 22, 2019",221.40,5607789
"Jul 23, 2019",218.05,4983571
"Jul 24, 2019",216.85,4877895
"Jul 25, 2019",209.05,19251346
"Jul 26, 2019",210.65,10490177
"Jul 29, 2019",205.40,11715160
"Jul 30, 2019",199.55,10527314
"Jul 31, 2019",204.45,10992207
"Aug 01, 2019",202.45,6018424
"Aug 02, 2019",197.20,6376599
"Aug 05, 2019",200.60,8942376
"Aug 06, 2019",205.10,12536563
"Aug 07, 2019",206.10,9270695
"Aug 08, 2019",211.85,8622272
"Aug 09, 2019",207.60,7027377
"Aug 13, 2019",203.75,6907370
"Aug 14, 2019",200.50,16687905
"Aug 16, 2019",201.95,12556891
"Aug 19, 2019",198.95,5848151
"Aug 20, 2019",195.30,7496337
"Aug 21, 2019",188.80,10788976
"Aug 22, 2019",180.85,13370852
"Aug 23, 2019",188.00,11447263
"Aug 26, 2019",188.75,8851543
"Aug 27, 2019",191.85,11357212
"Aug 28, 2019",185.05,10791130
"Aug 29, 2019",189.00,31069292
"Aug 30, 2019",184.75,11880019
"Sep 03, 2019",181.05,7054535
"Sep 04, 2019",182.15,6030798
"Sep 05, 2019",194.85,29083353
"Sep 06, 2019",198.60,16095238
"Sep 09, 2019",199.35,5382211
"Sep 11, 2019",196.70,8755389
"Sep 12, 2019",197.70,6446408
"Sep 13, 2019",198.20,6979583
"Sep 16, 2019",200.55,3961273
"Sep 17, 2019",197.60,5885854
"Sep 18, 2019",192.35,5488038
"Sep 19, 2019",193.45,7916117
"Sep 20, 2019",200.05,30567231
"Sep 23, 2019",202.70,9396444
"Sep 24, 2019",198.15,9662821
"Sep 25, 2019",192.60,6873148
"Sep 26, 2019",203.30,20274950
"Sep 27, 2019",199.35,10240429
"Sep 30, 2019",199.85,7578946
"Oct 01, 2019",194.10,10416295
"Oct 03, 2019",186.75,12270678
"Oct 04, 2019",185.80,12238072
"Oct 07, 2019",184.40,6160378
"Oct 09, 2019",185.35,5808768
"Oct 10, 2019",184.55,4047661
"Oct 11, 2019",189.05,7104915
"Oct 14, 2019",190.10,6340044
"Oct 15, 2019",191.15,5459056
"Oct 16, 2019",194.55,7396404
"Oct 17, 2019",199.40,6611768
"Oct 18, 2019",205.95,12709671
"Oct 22, 2019",208.80,9795154
"Oct 23, 2019",208.80,7137614
"Oct 24, 2019",205.20,8470734
"Oct 25, 2019",205.85,5368529
"Oct 27, 2019",202.85,755584
"Oct 29, 2019",209.75,6925785
"Oct 30, 2019",206.25,4487164
"Oct 31, 2019",207.55,6655719
"Nov 01, 2019",207.10,7118433
"Nov 04, 2019",215.00,8489492
"Nov 05, 2019",211.15,12681517
"Nov 06, 2019",212.40,4344694
"Nov 07, 2019",212.50,3529240
"Nov 08, 2019",209.25,6324778
"Nov 11, 2019",209.85,3485203
