Date,Price,Volume
"Feb 19, 2018",264.10,6069585
"Feb 20, 2018",263.25,9301017
"Feb 21, 2018",268.20,10555155
"Feb 22, 2018",267.10,19118686
"Feb 23, 2018",269.05,6529253
"Feb 26, 2018",266.55,8378818
"Feb 27, 2018",266.40,7429924
"Feb 28, 2018",265.05,13451146
"Mar 01, 2018",264.00,7781553
"Mar 05, 2018",260.25,6623613
"Mar 06, 2018",256.50,8180373
"Mar 07, 2018",259.90,15153219
"Mar 08, 2018",258.85,6027032
"Mar 09, 2018",259.25,6110339
"Mar 12, 2018",270.10,19900387
"Mar 13, 2018",269.45,8326884
"Mar 14, 2018",268.05,7907101
"Mar 15, 2018",265.55,5557668
"Mar 16, 2018",260.50,20680532
"Mar 19, 2018",259.15,12926158
"Mar 20, 2018",259.20,7481088
"Mar 21, 2018",259.05,12920867
"Mar 22, 2018",258.30,8011131
"Mar 23, 2018",256.00,11185677
"Mar 26, 2018",258.10,12499724
"Mar 27, 2018",258.90,8769415
"Mar 28, 2018",255.50,12270479
"Apr 02, 2018",258.25,7029064
"Apr 03, 2018",258.50,5098212
"Apr 04, 2018",258.60,8392947
"Apr 05, 2018",259.65,9113610
"Apr 06, 2018",260.85,6098959
"Apr 09, 2018",265.80,9217475
"Apr 10, 2018",266.70,14682547
"Apr 11, 2018",265.15,5232228
"Apr 12, 2018",261.95,6125006
"Apr 13, 2018",260.75,4991314
"Apr 16, 2018",264.45,5212182
"Apr 17, 2018",267.60,13207767
"Apr 18, 2018",275.35,23815794
"Apr 19, 2018",277.35,12823460
"Apr 20, 2018",276.20,10790554
"Apr 23, 2018",275.50,11746220
"Apr 24, 2018",276.00,8449353
"Apr 25, 2018",274.10,4928817
"Apr 26, 2018",278.25,20282977
"Apr 27, 2018",279.40,9732842
"Apr 30, 2018",281.45,5918966
"May 02, 2018",287.25,16071685
"May 03, 2018",285.00,9366444
"May 04, 2018",277.15,10904195
"May 07, 2018",282.25,6475767
"May 08, 2018",282.70,6588906
"May 09, 2018",282.30,4214376
"May 10, 2018",280.15,5672203
"May 11, 2018",283.65,3892106
"May 14, 2018",284.80,6479302
"May 15, 2018",281.85,7777542
"May 16, 2018",285.85,18062869
"May 17, 2018",278.95,10755084
"May 18, 2018",282.30,15422138
"May 21, 2018",282.35,8579200
"May 22, 2018",278.75,4730984
"May 23, 2018",273.45,7891899
"May 24, 2018",274.85,6282351
"May 25, 2018",272.30,9244273
"May 28, 2018",275.30,6997081
"May 29, 2018",274.05,8830998
"May 30, 2018",271.90,8005601
"May 31, 2018",271.65,13212672
"Jun 01, 2018",269.95,6607768
"Jun 04, 2018",268.90,7984112
"Jun 05, 2018",267.50,5788321
"Jun 06, 2018",270.40,7296797
"Jun 07, 2018",271.05,6797792
"Jun 08, 2018",267.90,6769606
"Jun 11, 2018",269.25,8572974
"Jun 12, 2018",270.25,8449515
"Jun 13, 2018",267.85,7817856
"Jun 14, 2018",267.25,9169601
"Jun 15, 2018",264.50,10814596
"Jun 18, 2018",264.55,6281093
"Jun 19, 2018",266.05,7336092
"Jun 20, 2018",263.75,9540207
"Jun 21, 2018",260.85,7137481
"Jun 22, 2018",265.15,16820667
"Jun 25, 2018",262.60,13617718
"Jun 26, 2018",264.80,10087090
