Date,Price,Volume
"Jun 11, 2021",199.05,16717
"Jun 14, 2021",209.00,872
"Jun 15, 2021",219.45,518
"Jun 16, 2021",230.40,1565
"Jun 17, 2021",241.90,410
"Jun 18, 2021",253.95,617
"Jun 21, 2021",266.60,377
"Jun 22, 2021",279.90,533
"Jun 23, 2021",293.85,369
"Jun 24, 2021",308.50,28029
"Jun 25, 2021",339.35,4483
"Jun 28, 2021",373.25,796
"Jun 29, 2021",410.55,3894
"Jun 30, 2021",431.05,31705
"Jul 01, 2021",452.60,881
"Jul 02, 2021",475.20,2430
"Jul 05, 2021",498.95,1770
"Jul 06, 2021",523.85,2298
"Jul 07, 2021",550.00,1655
"Jul 08, 2021",577.50,5215
"Jul 09, 2021",606.35,3373
"Jul 12, 2021",636.65,463
"Jul 13, 2021",668.45,318
"Jul 14, 2021",701.85,114743
"Jul 15, 2021",736.90,18057
"Jul 16, 2021",773.35,14033
"Jul 19, 2021",755.30,13276
"Jul 20, 2021",717.55,4581
"Jul 22, 2021",707.05,7823
"Jul 23, 2021",703.10,11588
"Jul 26, 2021",705.75,6983
"Jul 27, 2021",720.80,3276
"Jul 28, 2021",748.55,8084
"Jul 29, 2021",785.95,3083
"Jul 30, 2021",825.20,9510
"Aug 02, 2021",866.45,3466
"Aug 03, 2021",909.50,14679
"Aug 04, 2021",920.30,10745
"Aug 05, 2021",909.15,9740
"Aug 06, 2021",900.60,2995
"Aug 09, 2021",869.20,6153
"Aug 10, 2021",836.55,8046
"Aug 11, 2021",794.75,6428
"Aug 12, 2021",792.35,23046
"Aug 13, 2021",822.50,1941
"Aug 16, 2021",805.00,12682
"Aug 17, 2021",791.15,3121
"Aug 18, 2021",758.90,5780
"Aug 20, 2021",745.65,14116
"Aug 23, 2021",744.55,7521
"Aug 24, 2021",711.95,4136
"Aug 25, 2021",709.95,2386
"Aug 26, 2021",742.20,1907
"Aug 27, 2021",747.25,4998
"Aug 30, 2021",749.70,2725
"Aug 31, 2021",746.55,1430
"Sep 01, 2021",740.30,2411
"Sep 02, 2021",734.05,2193
"Sep 03, 2021",733.35,1207
"Sep 06, 2021",724.60,55655
"Sep 07, 2021",696.15,29252
"Sep 08, 2021",700.50,441
"Sep 09, 2021",697.35,3698
"Sep 13, 2021",672.80,2967
"Sep 14, 2021",652.60,6313
"Sep 15, 2021",665.20,2095
"Sep 16, 2021",666.65,2497
"Sep 17, 2021",664.30,1104
"Sep 20, 2021",655.40,678
"Sep 21, 2021",660.75,2180
"Sep 22, 2021",650.00,1847
"Sep 23, 2021",648.90,4705
"Sep 24, 2021",628.05,3893
"Sep 27, 2021",641.05,1088
"Sep 28, 2021",619.00,2672
"Sep 29, 2021",620.00,2944
"Sep 30, 2021",604.60,3941
"Oct 01, 2021",610.65,3533
"Oct 04, 2021",608.50,1105
"Oct 05, 2021",600.00,5223
"Oct 06, 2021",595.10,2002
"Oct 07, 2021",595.00,2211
"Oct 08, 2021",594.65,1898
"Oct 11, 2021",614.95,7765
"Oct 12, 2021",645.50,4127
"Oct 13, 2021",677.75,2925
"Oct 14, 2021",711.60,3037
"Oct 18, 2021",747.15,25730
"Oct 19, 2021",779.70,15001
"Oct 20, 2021",765.95,13688
"Oct 21, 2021",751.90,2843
"Oct 22, 2021",762.10,3500
"Oct 25, 2021",776.10,2754
"Oct 26, 2021",761.15,1830
"Oct 27, 2021",799.20,6581
"Oct 28, 2021",839.15,6787
"Oct 29, 2021",872.20,28373
"Nov 01, 2021",895.15,18883
"Nov 02, 2021",939.90,7170
"Nov 03, 2021",946.35,6642
"Nov 04, 2021",944.75,1563
"Nov 08, 2021",897.55,8878
"Nov 09, 2021",870.00,1377
"Nov 10, 2021",911.85,3208
"Nov 11, 2021",896.80,1685
"Nov 12, 2021",875.85,767
"Nov 15, 2021",866.00,1515
"Nov 16, 2021",863.00,358
"Nov 17, 2021",839.55,1358
"Nov 18, 2021",830.90,3740
"Nov 22, 2021",797.50,803
"Nov 23, 2021",817.90,1049
"Nov 24, 2021",811.00,1389
"Nov 25, 2021",792.35,464
"Nov 26, 2021",769.35,633
"Nov 29, 2021",736.25,1766
"Nov 30, 2021",745.15,245
"Dec 01, 2021",767.55,564
"Dec 02, 2021",782.00,2462
"Dec 03, 2021",821.10,2570
"Dec 06, 2021",862.15,1745
"Dec 07, 2021",898.30,2587
"Dec 08, 2021",929.90,3024
"Dec 09, 2021",909.05,342
"Dec 10, 2021",886.95,638
"Dec 13, 2021",883.05,736
"Dec 14, 2021",880.65,686
"Dec 15, 2021",890.00,310
"Dec 16, 2021",849.60,2739
"Dec 17, 2021",811.60,6397
"Dec 20, 2021",793.95,1870
"Dec 21, 2021",790.10,2362
"Dec 22, 2021",765.25,1216
"Dec 23, 2021",803.40,1983
"Dec 24, 2021",786.25,373
"Dec 27, 2021",793.55,943
"Dec 28, 2021",772.70,3131
"Dec 29, 2021",753.60,1293
"Dec 30, 2021",756.45,936
"Dec 31, 2021",766.25,1279
"Jan 03, 2022",753.65,2572
"Jan 04, 2022",767.35,1544
"Jan 05, 2022",779.65,1942
"Jan 06, 2022",784.70,1551
"Jan 07, 2022",758.40,1702
"Jan 10, 2022",775.70,3024
"Jan 11, 2022",772.10,1747
"Jan 12, 2022",793.30,1723
"Jan 13, 2022",791.05,761
"Jan 14, 2022",775.65,823
"Jan 17, 2022",769.35,2164
"Jan 18, 2022",762.80,657
"Jan 19, 2022",767.85,406
"Jan 20, 2022",759.35,7996
"Jan 21, 2022",749.30,1999
"Jan 24, 2022",737.80,1462
"Jan 25, 2022",741.85,434
"Jan 27, 2022",745.70,1357
"Jan 28, 2022",739.00,1227
"Jan 31, 2022",741.90,1356
"Feb 01, 2022",744.25,597
"Feb 02, 2022",777.70,972
"Feb 03, 2022",760.70,1363
"Feb 04, 2022",756.60,759
"Feb 07, 2022",743.65,1344
"Feb 08, 2022",727.50,1370
"Feb 09, 2022",729.90,1323
"Feb 10, 2022",744.70,393
"Feb 11, 2022",744.60,427
"Feb 14, 2022",723.05,634
"Feb 15, 2022",721.50,190
"Feb 16, 2022",734.85,356
"Feb 17, 2022",733.45,932
"Feb 18, 2022",728.55,1137
"Feb 21, 2022",709.30,818
"Feb 22, 2022",673.85,2803
"Feb 23, 2022",674.15,663
"Feb 24, 2022",648.10,2375
"Feb 25, 2022",662.90,1551
"Feb 28, 2022",678.00,166
"Mar 02, 2022",681.15,3962
"Mar 03, 2022",683.35,1297
"Mar 04, 2022",677.85,351
"Mar 07, 2022",670.20,467
"Mar 08, 2022",664.15,833
"Mar 09, 2022",652.25,2029
"Mar 10, 2022",671.70,403
"Mar 11, 2022",674.50,354
"Mar 14, 2022",672.75,847
"Mar 15, 2022",671.65,1782
"Mar 16, 2022",705.20,934
"Mar 17, 2022",740.45,654
"Mar 21, 2022",716.25,1995
"Mar 22, 2022",709.15,1103
"Mar 23, 2022",705.10,842
"Mar 24, 2022",694.50,1598
"Mar 25, 2022",712.75,1979
"Mar 28, 2022",710.45,1436
"Mar 29, 2022",726.20,90515
"Mar 30, 2022",728.85,4890
"Mar 31, 2022",710.10,1001
