Date,Price,Volume
"Feb 19, 2018",814.40,1260233
"Feb 20, 2018",815.80,740252
"Feb 21, 2018",813.95,1184810
"Feb 22, 2018",800.05,1669008
"Feb 23, 2018",807.50,1754473
"Feb 26, 2018",821.30,1034951
"Feb 27, 2018",826.30,976292
"Feb 28, 2018",819.95,882036
"Mar 01, 2018",803.90,1311644
"Mar 05, 2018",790.15,1944252
"Mar 06, 2018",773.40,2526715
"Mar 07, 2018",761.75,1288034
"Mar 08, 2018",771.15,1345222
"Mar 09, 2018",764.50,813679
"Mar 12, 2018",769.80,1174238
"Mar 13, 2018",780.60,881387
"Mar 14, 2018",781.55,698211
"Mar 15, 2018",776.65,834688
"Mar 16, 2018",761.85,1419793
"Mar 19, 2018",766.60,1196025
"Mar 20, 2018",771.75,975082
"Mar 21, 2018",767.85,758910
"Mar 22, 2018",758.50,729009
"Mar 23, 2018",734.50,1701513
"Mar 26, 2018",740.15,1276440
"Mar 27, 2018",748.75,949924
"Mar 28, 2018",735.85,2223129
"Apr 02, 2018",777.10,2124403
"Apr 03, 2018",788.50,2357152
"Apr 04, 2018",775.20,1480947
"Apr 05, 2018",786.70,660905
"Apr 06, 2018",809.05,5616503
"Apr 09, 2018",793.85,1897323
"Apr 10, 2018",789.70,1135605
"Apr 11, 2018",789.65,1208659
"Apr 12, 2018",773.35,1138426
"Apr 13, 2018",779.85,1070284
"Apr 16, 2018",794.40,1703440
"Apr 17, 2018",805.05,2205548
"Apr 18, 2018",790.55,1273598
"Apr 19, 2018",790.35,892965
"Apr 20, 2018",799.90,1414151
"Apr 23, 2018",811.85,2168704
"Apr 24, 2018",819.75,2164708
"Apr 25, 2018",814.70,739684
"Apr 26, 2018",792.70,2498590
"Apr 27, 2018",801.45,1357939
"Apr 30, 2018",811.55,990926
"May 02, 2018",800.55,685644
"May 03, 2018",797.95,641614
"May 04, 2018",795.60,870956
"May 07, 2018",773.90,1945747
"May 08, 2018",774.85,1360778
"May 09, 2018",762.15,1058888
"May 10, 2018",755.55,1388309
"May 11, 2018",752.45,1188722
"May 14, 2018",754.20,1709787
"May 15, 2018",750.80,5816366
"May 16, 2018",766.50,3129549
"May 17, 2018",762.95,1404732
"May 18, 2018",743.70,1185047
"May 21, 2018",736.25,984687
"May 22, 2018",740.10,1078032
"May 23, 2018",734.90,744439
"May 24, 2018",742.35,1013294
"May 25, 2018",745.60,1431158
"May 28, 2018",782.50,2532534
"May 29, 2018",781.05,2602320
"May 30, 2018",779.20,1236513
"May 31, 2018",770.35,1994980
"Jun 01, 2018",764.45,1297715
"Jun 04, 2018",773.95,1801475
"Jun 05, 2018",760.25,1363084
"Jun 06, 2018",770.05,1131792
"Jun 07, 2018",767.35,957228
"Jun 08, 2018",810.05,4904878
"Jun 11, 2018",809.50,3448600
"Jun 12, 2018",855.00,8989742
"Jun 13, 2018",871.90,6576519
"Jun 14, 2018",899.60,6617748
"Jun 15, 2018",913.20,8180351
"Jun 18, 2018",902.20,3507092
"Jun 19, 2018",897.85,4731384
"Jun 20, 2018",899.85,2626824
"Jun 21, 2018",899.65,2196762
"Jun 22, 2018",902.90,3661231
"Jun 25, 2018",913.45,3544163
"Jun 26, 2018",902.35,2312136
"Jun 27, 2018",893.60,2802734
"Jun 28, 2018",897.75,4162515
"Jun 29, 2018",903.80,2418127
"Jul 02, 2018",889.45,1483033
"Jul 03, 2018",903.10,2304392
"Jul 04, 2018",934.20,5674097
"Jul 05, 2018",922.65,3051351
"Jul 06, 2018",915.80,2783374
"Jul 09, 2018",911.50,1890208
"Jul 10, 2018",902.85,1846761
"Jul 11, 2018",900.45,2598037
"Jul 12, 2018",884.50,1816416
"Jul 13, 2018",865.60,1884162
"Jul 16, 2018",818.15,2929578
"Jul 17, 2018",827.40,2386757
"Jul 18, 2018",811.00,5728347
"Jul 19, 2018",794.55,2616898
"Jul 20, 2018",800.65,3233608
"Jul 23, 2018",800.10,2280600
"Jul 24, 2018",820.95,2200804
"Jul 25, 2018",796.95,1812670
"Jul 26, 2018",812.85,3883354
"Jul 27, 2018",815.25,1673216
"Jul 30, 2018",820.10,2759758
"Jul 31, 2018",824.40,2219822
"Aug 01, 2018",844.20,3182314
"Aug 02, 2018",864.85,3951505
