Date,Price,Volume
"Feb 17, 2022",862.25,2041741
"Feb 18, 2022",852.00,1616856
"Feb 21, 2022",841.10,2255753
"Feb 22, 2022",853.25,2768989
"Feb 23, 2022",850.30,2265060
"Feb 24, 2022",795.80,5677898
"Feb 25, 2022",807.60,3470318
"Feb 28, 2022",790.85,5026913
"Mar 02, 2022",778.35,5779175
"Mar 03, 2022",762.05,2763929
"Mar 04, 2022",732.30,4829850
"Mar 07, 2022",690.55,7008637
"Mar 08, 2022",700.65,4000294
"Mar 09, 2022",734.85,5490287
"Mar 10, 2022",738.85,4064470
"Mar 11, 2022",734.80,2364792
"Mar 14, 2022",743.20,3563695
"Mar 15, 2022",761.20,4811450
"Mar 16, 2022",773.65,2277631
"Mar 17, 2022",794.40,3787641
"Mar 21, 2022",783.50,3008019
"Mar 22, 2022",785.60,5436875
"Mar 23, 2022",774.10,3277274
"Mar 24, 2022",765.65,2248114
"Mar 25, 2022",764.75,3148869
"Mar 28, 2022",769.25,4719388
"Mar 29, 2022",773.35,3519610
"Mar 30, 2022",793.35,4407033
"Mar 31, 2022",806.55,7059986
"Apr 01, 2022",826.55,3406177
"Apr 04, 2022",833.70,4163250
"Apr 05, 2022",836.55,2669967
"Apr 06, 2022",827.85,2049292
"Apr 07, 2022",834.30,2913537
"Apr 08, 2022",857.40,4145522
"Apr 11, 2022",856.85,2922901
"Apr 12, 2022",860.80,2961076
"Apr 13, 2022",866.10,3695363
"Apr 18, 2022",874.10,3076843
"Apr 19, 2022",872.50,3301212
"Apr 20, 2022",881.25,2208791
"Apr 21, 2022",911.00,3206906
"Apr 22, 2022",920.65,4924905
"Apr 25, 2022",904.00,5476626
"Apr 26, 2022",940.15,6384561
"Apr 27, 2022",926.85,3154605
"Apr 28, 2022",922.90,2869224
"Apr 29, 2022",922.10,3467791
"May 02, 2022",921.35,2740823
"May 04, 2022",896.10,2408261
"May 05, 2022",899.05,2690817
"May 06, 2022",893.85,4247088
"May 09, 2022",895.30,1790691
"May 10, 2022",888.35,2436623
"May 11, 2022",887.05,3048794
"May 12, 2022",865.25,4908042
"May 13, 2022",889.50,4956950
"May 16, 2022",903.35,2856221
"May 17, 2022",910.80,3469290
"May 18, 2022",913.30,3203522
"May 19, 2022",882.55,2658159
"May 20, 2022",903.80,3426756
"May 23, 2022",941.90,6613972
"May 24, 2022",946.85,4546511
"May 25, 2022",928.40,1363358
"May 26, 2022",929.80,2384886
"May 27, 2022",952.85,3269005
"May 30, 2022",998.35,11690785
"May 31, 2022",1034.35,13301109
"Jun 01, 2022",1047.35,7889745
"Jun 02, 2022",1044.55,4081658
"Jun 03, 2022",1028.65,2660682
"Jun 06, 2022",1035.95,3443406
"Jun 07, 2022",1042.55,2162861
"Jun 08, 2022",1045.00,4293398
"Jun 09, 2022",1045.10,2757706
"Jun 10, 2022",1036.50,2425545
"Jun 13, 2022",1004.30,4047155
"Jun 14, 2022",1019.25,3614327
"Jun 15, 2022",1025.50,3333753
"Jun 16, 2022",1005.25,3255301
"Jun 17, 2022",997.65,5318310
"Jun 20, 2022",982.70,3722583
"Jun 21, 2022",997.95,6263423
"Jun 22, 2022",983.80,2629024
"Jun 23, 2022",1027.70,7303072
"Jun 24, 2022",1072.05,7273273
"Jun 27, 2022",1082.70,6316257
"Jun 28, 2022",1112.00,11020641
"Jun 29, 2022",1111.75,5052023
"Jun 30, 2022",1093.15,4165189
"Jul 01, 2022",1107.35,2839545
"Jul 04, 2022",1091.20,2784613
"Jul 05, 2022",1081.95,3675577
"Jul 06, 2022",1104.55,4957228
"Jul 07, 2022",1133.30,4917004
"Jul 08, 2022",1133.60,10482265
"Jul 11, 2022",1165.05,4520273
"Jul 12, 2022",1146.65,2452632
"Jul 13, 2022",1140.35,3379695
"Jul 14, 2022",1142.65,2423203
"Jul 15, 2022",1172.50,3879759
"Jul 18, 2022",1163.40,3480683
"Jul 19, 2022",1186.25,4056414
