Date,Price,Volume
"Feb 19, 2018",70624.00,3821
"Feb 20, 2018",70825.50,3989
"Feb 21, 2018",71787.05,5414
"Feb 22, 2018",70107.80,4823
"Feb 23, 2018",72473.40,7984
"Feb 26, 2018",72690.80,4426
"Feb 27, 2018",72665.80,9668
"Feb 28, 2018",73391.60,11901
"Mar 01, 2018",72683.65,5016
"Mar 05, 2018",72324.65,8937
"Mar 06, 2018",71475.85,5388
"Mar 07, 2018",70249.20,6459
"Mar 08, 2018",70204.40,7016
"Mar 09, 2018",70781.65,5005
"Mar 12, 2018",71094.20,3757
"Mar 13, 2018",71717.30,4148
"Mar 14, 2018",71281.65,4663
"Mar 15, 2018",71737.95,3803
"Mar 16, 2018",70211.65,4914
"Mar 19, 2018",70074.85,3928
"Mar 20, 2018",69593.05,2849
"Mar 21, 2018",69966.45,4761
"Mar 22, 2018",69489.30,3754
"Mar 23, 2018",69236.90,4854
"Mar 26, 2018",69961.75,7329
"Mar 27, 2018",72656.05,9594
"Mar 28, 2018",72513.25,14061
"Apr 02, 2018",73122.45,3468
"Apr 03, 2018",75502.40,21139
"Apr 04, 2018",74734.20,11549
"Apr 05, 2018",77012.55,16500
"Apr 06, 2018",77137.25,7307
"Apr 09, 2018",77243.90,6579
"Apr 10, 2018",76831.10,3552
"Apr 11, 2018",76467.60,3136
"Apr 12, 2018",77613.70,11854
"Apr 13, 2018",78091.35,10905
"Apr 16, 2018",78370.50,4416
"Apr 17, 2018",79771.65,11498
"Apr 18, 2018",79069.85,5399
"Apr 19, 2018",79320.00,5829
"Apr 20, 2018",78110.10,6038
"Apr 23, 2018",77961.45,4238
"Apr 24, 2018",77948.40,3784
"Apr 25, 2018",77496.40,4176
"Apr 26, 2018",76509.15,8038
"Apr 27, 2018",80413.25,19559
"Apr 30, 2018",79933.45,7899
"May 02, 2018",79610.80,7999
"May 03, 2018",77028.15,33135
"May 04, 2018",75721.50,8851
"May 07, 2018",76115.05,5681
"May 08, 2018",75746.75,4047
"May 09, 2018",76019.80,12724
"May 10, 2018",74881.45,8010
"May 11, 2018",74675.50,20861
"May 14, 2018",74737.35,3327
"May 15, 2018",74604.95,4574
"May 16, 2018",74873.40,7566
"May 17, 2018",74559.95,4063
"May 18, 2018",74206.20,5414
"May 21, 2018",73102.10,4517
"May 22, 2018",73873.45,3535
"May 23, 2018",74140.50,4850
"May 24, 2018",73600.70,3405
"May 25, 2018",73866.40,4540
"May 28, 2018",76062.35,5926
"May 29, 2018",76392.25,5286
"May 30, 2018",77087.60,4958
"May 31, 2018",75734.05,4232
"Jun 01, 2018",74848.90,4375
"Jun 04, 2018",74480.60,3391
"Jun 05, 2018",73815.65,5761
"Jun 06, 2018",74282.50,4004
"Jun 07, 2018",75427.45,4555
"Jun 08, 2018",75929.00,4143
"Jun 11, 2018",76407.60,3015
"Jun 12, 2018",75580.70,3000
"Jun 13, 2018",75048.05,2476
"Jun 14, 2018",75349.60,3518
"Jun 15, 2018",75351.15,3971
"Jun 18, 2018",74359.80,3810
"Jun 19, 2018",74849.80,3367
"Jun 20, 2018",74877.65,11625
"Jun 21, 2018",74771.65,3478
"Jun 22, 2018",75703.40,3092
"Jun 25, 2018",75186.70,2664
"Jun 26, 2018",74972.75,4297
"Jun 27, 2018",74037.55,4778
"Jun 28, 2018",72933.05,13071
"Jun 29, 2018",74974.45,6906
"Jul 02, 2018",75197.80,3945
"Jul 03, 2018",75459.20,2537
"Jul 04, 2018",75896.95,2761
"Jul 05, 2018",75477.40,2341
"Jul 06, 2018",75097.15,4502
"Jul 09, 2018",75505.00,3521
"Jul 10, 2018",75943.90,5016
"Jul 11, 2018",76153.80,3293
"Jul 12, 2018",77611.20,13063
"Jul 13, 2018",77059.75,3963
"Jul 16, 2018",74332.00,7317
"Jul 17, 2018",74608.95,5825
"Jul 18, 2018",73852.35,4812
"Jul 19, 2018",74475.30,3949
"Jul 20, 2018",76812.45,9474
"Jul 23, 2018",77782.50,4861
