Date,Price,Volume
"Feb 19, 2018",10378.40,187300
"Feb 20, 2018",10360.40,187700
"Feb 21, 2018",10397.45,234100
"Feb 22, 2018",10382.70,313600
"Feb 23, 2018",10491.05,210600
"Feb 26, 2018",10582.60,171900
"Feb 27, 2018",10554.30,187500
"Feb 28, 2018",10492.85,286000
"Mar 01, 2018",10458.35,176000
"Mar 05, 2018",10358.85,194000
"Mar 06, 2018",10249.25,222900
"Mar 07, 2018",10154.20,249500
"Mar 08, 2018",10242.65,226400
"Mar 09, 2018",10226.85,186500
"Mar 12, 2018",10421.40,216400
"Mar 13, 2018",10426.85,266700
"Mar 14, 2018",10410.90,181400
"Mar 15, 2018",10360.15,173900
"Mar 16, 2018",10195.15,328500
"Mar 19, 2018",10094.25,210200
"Mar 20, 2018",10124.35,203000
"Mar 21, 2018",10155.25,204800
"Mar 22, 2018",10114.75,230500
"Mar 23, 2018",9998.05,285700
"Mar 26, 2018",10130.65,262600
"Mar 27, 2018",10184.15,225700
"Mar 28, 2018",10113.70,344400
"Apr 02, 2018",10211.80,225400
"Apr 03, 2018",10245.00,205300
"Apr 04, 2018",10128.40,231100
"Apr 05, 2018",10325.15,236800
"Apr 06, 2018",10331.60,200200
"Apr 09, 2018",10379.35,221600
"Apr 10, 2018",10402.25,251700
"Apr 11, 2018",10417.15,250400
"Apr 12, 2018",10458.65,238600
"Apr 13, 2018",10480.60,213100
"Apr 16, 2018",10528.35,195000
"Apr 17, 2018",10548.70,206100
"Apr 18, 2018",10526.20,205400
"Apr 19, 2018",10565.30,262600
"Apr 20, 2018",10564.05,244600
"Apr 23, 2018",10584.70,194200
"Apr 24, 2018",10614.35,219200
"Apr 25, 2018",10570.55,189200
"Apr 26, 2018",10617.80,335100
"Apr 30, 2018",10739.35,173800
"May 02, 2018",10718.05,229700
"May 03, 2018",10679.65,185200
"May 04, 2018",10618.25,186500
"May 07, 2018",10715.50,168400
"May 08, 2018",10717.80,269800
"May 09, 2018",10741.70,215400
"May 10, 2018",10716.55,192100
"May 11, 2018",10806.50,203100
"May 14, 2018",10806.60,171400
"May 15, 2018",10801.85,254300
"May 16, 2018",10741.10,231100
"May 17, 2018",10682.70,214100
"May 18, 2018",10596.40,223000
"May 22, 2018",10536.70,241700
"May 23, 2018",10430.35,290900
"May 24, 2018",10513.85,297600
"May 25, 2018",10605.15,260800
"May 28, 2018",10688.65,232600
"May 29, 2018",10633.30,225800
"May 30, 2018",10614.35,238700
"May 31, 2018",10736.15,610300
"Jun 01, 2018",10696.20,220600
"Jun 04, 2018",10628.50,203800
"Jun 05, 2018",10593.15,167700
"Jun 06, 2018",10684.65,189900
"Jun 07, 2018",10768.35,220900
"Jun 08, 2018",10767.65,209400
"Jun 11, 2018",10786.95,211400
"Jun 12, 2018",10842.85,198300
"Jun 13, 2018",10856.70,213400
"Jun 14, 2018",10808.05,184300
"Jun 15, 2018",10817.70,305400
"Jun 18, 2018",10799.85,196600
"Jun 19, 2018",10710.45,224500
"Jun 20, 2018",10772.05,193500
"Jun 21, 2018",10741.10,223600
"Jun 22, 2018",10821.85,229800
"Jun 25, 2018",10762.45,229600
"Jun 26, 2018",10769.15,220000
"Jun 27, 2018",10671.40,246000
"Jun 28, 2018",10589.10,352300
