Date,Price,Volume
"Feb 19, 2018",986.55,397194
"Feb 20, 2018",988.10,290568
"Feb 21, 2018",991.65,353589
"Feb 22, 2018",997.85,700084
"Feb 23, 2018",1019.75,488284
"Feb 26, 2018",1048.70,901256
"Feb 27, 2018",1038.90,504563
"Feb 28, 2018",1053.25,875941
"Mar 01, 2018",1044.55,296768
"Mar 05, 2018",1041.70,396817
"Mar 06, 2018",1031.55,470841
"Mar 07, 2018",995.50,523787
"Mar 08, 2018",1001.95,290746
"Mar 09, 2018",1002.35,246935
"Mar 12, 2018",1013.55,250781
"Mar 13, 2018",1010.70,267919
"Mar 14, 2018",1010.30,335484
"Mar 15, 2018",1037.65,507111
"Mar 16, 2018",1012.75,557433
"Mar 19, 2018",979.20,374276
"Mar 20, 2018",985.25,513794
"Mar 21, 2018",993.95,431897
"Mar 22, 2018",992.25,273022
"Mar 23, 2018",965.90,333012
"Mar 26, 2018",977.35,393767
"Mar 27, 2018",1007.25,637940
"Mar 28, 2018",985.35,754559
"Apr 02, 2018",1002.05,514571
"Apr 03, 2018",1004.70,285091
"Apr 04, 2018",1003.30,1136562
"Apr 05, 2018",1020.30,288666
"Apr 06, 2018",1024.60,333564
"Apr 09, 2018",1042.00,524710
"Apr 10, 2018",1033.35,437606
"Apr 11, 2018",1042.60,361592
"Apr 12, 2018",1069.90,1360731
"Apr 13, 2018",1073.60,980350
"Apr 16, 2018",1071.70,361111
"Apr 17, 2018",1071.30,390080
"Apr 18, 2018",1064.35,246797
"Apr 19, 2018",1108.40,1002930
"Apr 20, 2018",1142.75,1493000
"Apr 23, 2018",1203.30,3824215
"Apr 24, 2018",1204.05,1281892
"Apr 25, 2018",1228.55,2040311
"Apr 26, 2018",1217.35,2848481
"Apr 27, 2018",1198.65,809515
"Apr 30, 2018",1237.80,856449
"May 02, 2018",1215.20,549492
"May 03, 2018",1224.55,939366
"May 04, 2018",1160.55,1355350
"May 07, 2018",1140.80,1121561
"May 08, 2018",1179.10,840152
"May 09, 2018",1192.45,888147
"May 10, 2018",1175.60,743804
"May 11, 2018",1183.40,795280
"May 14, 2018",1153.55,448627
"May 15, 2018",1144.30,620515
"May 16, 2018",1167.55,657434
"May 17, 2018",1184.95,608400
"May 18, 2018",1152.15,309490
"May 21, 2018",1163.50,658514
"May 22, 2018",1169.45,388378
"May 23, 2018",1200.90,1115230
"May 24, 2018",1194.95,725273
"May 25, 2018",1232.70,1010904
"May 28, 2018",1208.30,445802
"May 29, 2018",1227.40,652766
"May 30, 2018",1238.25,811822
"May 31, 2018",1237.10,922878
"Jun 01, 2018",1213.05,524857
"Jun 04, 2018",1203.85,368549
"Jun 05, 2018",1161.10,751553
"Jun 06, 2018",1192.50,756304
"Jun 07, 2018",1210.80,346232
"Jun 08, 2018",1232.40,1081524
"Jun 11, 2018",1226.05,404692
"Jun 12, 2018",1277.90,2225236
"Jun 13, 2018",1280.20,905610
"Jun 14, 2018",1287.30,666613
"Jun 15, 2018",1304.55,1356195
"Jun 18, 2018",1295.80,335779
"Jun 19, 2018",1309.65,1107248
"Jun 20, 2018",1320.75,1347798
"Jun 21, 2018",1323.05,606720
"Jun 22, 2018",1318.55,336087
"Jun 25, 2018",1342.95,839824
"Jun 26, 2018",1349.05,954560
"Jun 27, 2018",1331.50,536410
"Jun 28, 2018",1284.90,673515
"Jun 29, 2018",1334.70,576857
"Jul 02, 2018",1343.75,626411
"Jul 03, 2018",1366.50,845039
"Jul 04, 2018",1359.50,493055
"Jul 05, 2018",1349.05,410376
"Jul 06, 2018",1364.95,485383
"Jul 09, 2018",1381.55,634227
"Jul 10, 2018",1392.45,468326
"Jul 11, 2018",1445.00,1538513
"Jul 12, 2018",1429.25,697395
"Jul 13, 2018",1429.80,690067
"Jul 16, 2018",1420.55,599513
"Jul 17, 2018",1410.35,404537
"Jul 18, 2018",1417.00,636915
"Jul 19, 2018",1374.60,711513
"Jul 20, 2018",1394.50,422231
"Jul 23, 2018",1380.40,339615
"Jul 24, 2018",1378.60,495033
"Jul 25, 2018",1465.45,5190627
"Jul 26, 2018",1449.85,2546147
"Jul 27, 2018",1451.35,696778
"Jul 30, 2018",1425.25,395510
"Jul 31, 2018",1428.20,574008
"Aug 01, 2018",1434.80,651731
"Aug 02, 2018",1407.40,399538
"Aug 03, 2018",1416.95,431389
"Aug 06, 2018",1401.40,310183
"Aug 07, 2018",1385.45,519736
"Aug 08, 2018",1407.85,1027420
"Aug 09, 2018",1388.50,440694
"Aug 10, 2018",1395.55,686490
"Aug 13, 2018",1414.75,1105299
"Aug 14, 2018",1434.10,873562
"Aug 16, 2018",1434.15,1005006
"Aug 17, 2018",1432.10,421037
"Aug 20, 2018",1419.75,283498
"Aug 21, 2018",1441.65,745323
"Aug 23, 2018",1446.40,701099
"Aug 24, 2018",1418.85,372633
"Aug 27, 2018",1424.75,367521
"Aug 28, 2018",1417.60,227378
"Aug 29, 2018",1396.15,440177
"Aug 30, 2018",1407.30,438030
"Aug 31, 2018",1435.85,912171
"Sep 03, 2018",1445.20,1086963
"Sep 04, 2018",1414.05,680875
"Sep 05, 2018",1380.70,663928
"Sep 06, 2018",1352.50,783438
"Sep 07, 2018",1363.05,509051
"Sep 10, 2018",1349.65,447087
"Sep 11, 2018",1311.90,698408
"Sep 12, 2018",1334.15,754305
"Sep 14, 2018",1345.95,528257
"Sep 17, 2018",1365.00,654525
"Sep 18, 2018",1325.95,337963
"Sep 19, 2018",1332.85,491563
"Sep 21, 2018",1295.65,618629
"Sep 24, 2018",1261.40,388558
"Sep 25, 2018",1233.90,598109
"Sep 26, 2018",1186.85,824655
"Sep 27, 2018",1175.90,628163
"Sep 28, 2018",1156.00,821358
"Oct 01, 2018",1161.75,1028536
"Oct 03, 2018",1187.40,1037247
"Oct 04, 2018",1151.05,557405
"Oct 05, 2018",1138.15,600787
"Oct 08, 2018",1006.95,3139486
"Oct 09, 2018",968.20,2837487
"Oct 10, 2018",1016.55,1294588
"Oct 11, 2018",975.20,859089
"Oct 12, 2018",973.15,1023856
"Oct 15, 2018",988.15,658740
"Oct 16, 2018",1040.70,1144001
"Oct 17, 2018",990.95,1083306
"Oct 19, 2018",982.65,814011
"Oct 22, 2018",998.35,839503
"Oct 23, 2018",973.15,710778
"Oct 24, 2018",974.65,988550
"Oct 25, 2018",955.35,562811
"Oct 26, 2018",967.10,737378
"Oct 29, 2018",990.15,476998
"Oct 30, 2018",1010.40,695637
"Oct 31, 2018",1034.95,786249
"Nov 01, 2018",1074.80,1178992
"Nov 02, 2018",1047.30,565657
"Nov 05, 2018",1064.15,969015
"Nov 06, 2018",1048.05,486773
"Nov 07, 2018",1056.75,58492
"Nov 09, 2018",1028.55,525735
"Nov 12, 2018",996.25,931101
"Nov 13, 2018",1008.80,611643
"Nov 14, 2018",993.95,634760
"Nov 15, 2018",997.30,402804
"Nov 16, 2018",962.55,1172774
"Nov 19, 2018",982.70,774806
"Nov 20, 2018",989.10,762892
"Nov 21, 2018",973.40,1000494
"Nov 22, 2018",992.00,987210
"Nov 26, 2018",994.15,1019523
"Nov 27, 2018",1002.10,965929
"Nov 28, 2018",1016.70,966896
"Nov 29, 2018",1002.45,499266
"Nov 30, 2018",1024.05,763019
"Dec 03, 2018",1030.95,564812
"Dec 04, 2018",1035.40,869781
"Dec 05, 2018",1043.75,821951
"Dec 06, 2018",1011.00,454483
"Dec 07, 2018",1008.05,338032
"Dec 10, 2018",977.50,513330
"Dec 11, 2018",1002.50,970668
"Dec 12, 2018",1028.60,525122
"Dec 13, 2018",1026.50,445820
"Dec 14, 2018",1037.75,583285
"Dec 17, 2018",1021.95,657279
"Dec 18, 2018",1016.25,461047
"Dec 19, 2018",1003.75,877957
"Dec 20, 2018",1008.80,359208
"Dec 21, 2018",998.50,513574
"Dec 24, 2018",990.75,375742
"Dec 26, 2018",988.60,405975
"Dec 27, 2018",1010.90,938968
"Dec 28, 2018",1012.70,503526
"Dec 31, 2018",1020.40,384489
"Jan 01, 2019",1026.75,671934
"Jan 02, 2019",1024.80,827581
"Jan 03, 2019",1029.70,477746
"Jan 04, 2019",1003.90,1194424
"Jan 07, 2019",978.45,1225753
"Jan 08, 2019",972.25,4365760
"Jan 09, 2019",970.05,1345457
"Jan 10, 2019",969.50,473621
"Jan 11, 2019",961.95,1410190
"Jan 14, 2019",968.95,479983
"Jan 15, 2019",979.20,657468
"Jan 16, 2019",970.50,327270
"Jan 17, 2019",968.40,478499
"Jan 18, 2019",962.90,366679
"Jan 21, 2019",963.45,556855
"Jan 22, 2019",967.85,280798
"Jan 23, 2019",966.80,349506
"Jan 24, 2019",933.30,1357593
"Jan 25, 2019",912.80,798253
"Jan 28, 2019",875.10,687170
"Jan 29, 2019",884.95,382535
"Jan 30, 2019",879.30,382653
"Jan 31, 2019",874.00,405147
"Feb 01, 2019",889.30,498559
"Feb 04, 2019",888.65,649150
"Feb 05, 2019",897.40,488902
"Feb 06, 2019",907.90,672639
"Feb 07, 2019",922.90,845227
