Date,Price,Volume
"Feb 19, 2018",1461.80,1568224
"Feb 20, 2018",1472.38,1889068
"Feb 21, 2018",1521.15,3089228
"Feb 22, 2018",1525.10,3463010
"Feb 23, 2018",1537.90,3362500
"Feb 26, 2018",1515.85,1363882
"Feb 27, 2018",1521.18,1717800
"Feb 28, 2018",1517.53,2706864
"Mar 01, 2018",1518.85,1718124
"Mar 05, 2018",1552.93,2858168
"Mar 06, 2018",1521.40,1906764
"Mar 07, 2018",1513.72,1917772
"Mar 08, 2018",1501.97,1951826
"Mar 09, 2018",1517.05,1872436
"Mar 12, 2018",1526.07,2091340
"Mar 13, 2018",1443.40,88067154
"Mar 14, 2018",1443.45,3668668
"Mar 15, 2018",1434.85,2348906
"Mar 16, 2018",1412.85,7197482
"Mar 19, 2018",1415.50,3489940
"Mar 20, 2018",1432.43,4024984
"Mar 21, 2018",1428.38,3907678
"Mar 22, 2018",1415.68,2326094
"Mar 23, 2018",1409.07,3654122
"Mar 26, 2018",1408.50,2964210
"Mar 27, 2018",1423.85,2494574
"Mar 28, 2018",1424.57,6865654
"Apr 02, 2018",1454.82,1662988
"Apr 03, 2018",1455.63,1937290
"Apr 04, 2018",1455.45,2841820
"Apr 05, 2018",1478.97,1809424
"Apr 06, 2018",1475.15,1129018
"Apr 09, 2018",1461.95,1235866
"Apr 10, 2018",1468.80,1184532
"Apr 11, 2018",1507.07,3124416
"Apr 12, 2018",1569.63,6114360
"Apr 13, 2018",1576.65,8179118
"Apr 16, 2018",1593.82,6270274
"Apr 17, 2018",1583.30,3301724
"Apr 18, 2018",1579.55,2433066
"Apr 19, 2018",1595.57,4820952
"Apr 20, 2018",1701.22,18465662
"Apr 23, 2018",1704.32,15185910
"Apr 24, 2018",1692.82,8314336
"Apr 25, 2018",1735.13,8196574
"Apr 26, 2018",1769.63,12135034
"Apr 27, 2018",1725.97,4501330
"Apr 30, 2018",1766.05,3458558
"May 02, 2018",1749.88,3158046
"May 03, 2018",1740.93,3761550
"May 04, 2018",1740.38,2347244
"May 07, 2018",1710.47,3484426
"May 08, 2018",1720.60,2992820
"May 09, 2018",1744.65,2615050
"May 10, 2018",1725.63,3858678
"May 11, 2018",1728.47,2627876
"May 14, 2018",1716.78,2433894
"May 15, 2018",1741.20,1952890
"May 16, 2018",1746.95,1648450
"May 17, 2018",1745.90,2968048
"May 18, 2018",1751.03,1874996
"May 21, 2018",1778.38,3446178
"May 22, 2018",1754.45,1857416
"May 23, 2018",1747.55,1507298
"May 24, 2018",1801.85,2962316
"May 25, 2018",1792.90,3769772
"May 28, 2018",1751.03,3716798
"May 29, 2018",1761.75,3525312
"May 30, 2018",1757.05,3779106
"May 31, 2018",1741.05,5049371
"Jun 01, 2018",1732.45,1603856
"Jun 04, 2018",1744.25,1681483
"Jun 05, 2018",1721.60,2449568
"Jun 06, 2018",1725.75,2236512
"Jun 07, 2018",1735.55,2414762
"Jun 08, 2018",1747.10,2582138
"Jun 11, 2018",1749.70,2179378
"Jun 12, 2018",1781.00,4608875
"Jun 13, 2018",1824.10,5370983
"Jun 14, 2018",1787.55,3819998
"Jun 15, 2018",1840.05,9183574
"Jun 18, 2018",1829.00,4674987
"Jun 19, 2018",1824.50,3245034
"Jun 20, 2018",1822.45,3107695
"Jun 21, 2018",1819.35,2910659
"Jun 22, 2018",1809.80,2949458
"Jun 25, 2018",1819.25,2083217
"Jun 26, 2018",1852.00,4679712
"Jun 27, 2018",1858.00,4081208
"Jun 28, 2018",1842.70,4888125
"Jun 29, 2018",1847.75,3506276
"Jul 02, 2018",1851.35,2650290
"Jul 03, 2018",1874.05,3242233
"Jul 04, 2018",1866.15,2700614
"Jul 05, 2018",1880.30,2472571
"Jul 06, 2018",1912.95,3713781
"Jul 09, 2018",1883.00,6151747
"Jul 10, 2018",1875.10,5303302
"Jul 11, 2018",1979.90,22903802
"Jul 12, 2018",1971.35,6921701
"Jul 13, 2018",1981.10,4148185
"Jul 16, 2018",1989.20,2582159
"Jul 17, 2018",2002.15,3315492
"Jul 18, 2018",2000.25,2013869
"Jul 19, 2018",1981.40,1746318
"Jul 20, 2018",1996.60,1934995
"Jul 23, 2018",2005.65,2086201
"Jul 24, 2018",1999.00,2038423
"Jul 25, 2018",1981.50,1535492
"Jul 26, 2018",1964.70,3503036
"Jul 27, 2018",1943.75,2033977
"Jul 30, 2018",1944.60,1579251
"Jul 31, 2018",1940.20,2204803
"Aug 01, 2018",1976.50,2425180
"Aug 02, 2018",1948.40,1509287
"Aug 03, 2018",1979.45,1505131
"Aug 06, 2018",1975.55,1532249
"Aug 07, 2018",1967.35,1353521
"Aug 08, 2018",1974.00,1315062
"Aug 09, 2018",1974.35,2060297
"Aug 10, 2018",1993.10,2784105
"Aug 13, 2018",2000.15,3559575
"Aug 14, 2018",2003.55,3311765
"Aug 16, 2018",2008.50,2152065
"Aug 17, 2018",2012.75,1213731
"Aug 20, 2018",2009.95,1587032
"Aug 21, 2018",2017.65,1376866
"Aug 23, 2018",2035.10,3046791
"Aug 24, 2018",2043.00,1570533
"Aug 27, 2018",2050.90,1532702
"Aug 28, 2018",2069.20,1987983
"Aug 29, 2018",2072.00,1525867
"Aug 30, 2018",2082.40,2408020
"Aug 31, 2018",2078.40,2504554
"Sep 03, 2018",2052.90,1439711
"Sep 04, 2018",2098.90,4420803
"Sep 05, 2018",2079.25,1681106
"Sep 06, 2018",2075.30,2238097
"Sep 07, 2018",2079.85,1312182
"Sep 10, 2018",2080.75,1530539
"Sep 11, 2018",2046.25,3679745
"Sep 12, 2018",2043.95,2307661
"Sep 14, 2018",2065.40,3642038
"Sep 17, 2018",2074.15,1033857
"Sep 18, 2018",2070.75,1456507
"Sep 19, 2018",2077.90,1301268
"Sep 21, 2018",2103.15,4508530
"Sep 24, 2018",2198.45,3032226
"Sep 25, 2018",2183.20,2868778
"Sep 26, 2018",2142.15,1970951
"Sep 27, 2018",2188.85,3311802
"Sep 28, 2018",2183.70,2904371
"Oct 01, 2018",2255.55,3772208
"Oct 03, 2018",2162.85,3902322
"Oct 04, 2018",2064.80,4762419
"Oct 05, 2018",2102.65,3417624
"Oct 08, 2018",2077.55,2010154
"Oct 09, 2018",2091.80,1867130
"Oct 10, 2018",2043.60,2749573
"Oct 11, 2018",1979.95,4700256
"Oct 12, 2018",1918.30,9373289
"Oct 15, 2018",1949.50,2638151
"Oct 16, 2018",1962.30,2815425
"Oct 17, 2018",1929.40,2779207
"Oct 19, 2018",1913.20,3428776
"Oct 22, 2018",1903.00,1778496
"Oct 23, 2018",1843.65,2752811
"Oct 24, 2018",1848.50,2735913
"Oct 25, 2018",1853.00,2507233
"Oct 26, 2018",1799.10,2285970
