Date,Price,Volume
"Feb 19, 2018",803.95,1699508
"Feb 20, 2018",832.25,3881439
"Feb 21, 2018",822.90,2067029
"Feb 22, 2018",817.50,3244314
"Feb 23, 2018",814.20,2446637
"Feb 26, 2018",819.70,2438241
"Feb 27, 2018",822.60,2089446
"Feb 28, 2018",816.15,1583674
"Mar 01, 2018",810.20,975986
"Mar 05, 2018",808.90,1262568
"Mar 06, 2018",807.65,1358775
"Mar 07, 2018",814.85,1826249
"Mar 08, 2018",817.70,1109489
"Mar 09, 2018",819.10,1061685
"Mar 12, 2018",829.10,1033715
"Mar 13, 2018",851.95,2754435
"Mar 14, 2018",865.00,1889040
"Mar 15, 2018",872.50,2486538
"Mar 16, 2018",879.25,2538310
"Mar 19, 2018",869.00,2536517
"Mar 20, 2018",871.75,1985478
"Mar 21, 2018",872.25,1859947
"Mar 22, 2018",887.55,3186401
"Mar 23, 2018",895.05,4132765
"Mar 26, 2018",939.05,5918775
"Mar 27, 2018",942.40,2756923
"Mar 28, 2018",942.30,11431588
"Apr 02, 2018",944.10,2764385
"Apr 03, 2018",931.95,2454365
"Apr 04, 2018",904.35,2930774
"Apr 05, 2018",920.05,4148653
"Apr 06, 2018",940.30,2819200
"Apr 09, 2018",960.65,5116819
"Apr 10, 2018",962.25,2434826
"Apr 11, 2018",979.95,3452488
"Apr 12, 2018",976.05,4379096
"Apr 13, 2018",987.15,3311755
"Apr 16, 2018",980.50,2247785
"Apr 17, 2018",997.60,2983704
"Apr 18, 2018",977.10,2621345
"Apr 19, 2018",952.75,3347181
"Apr 20, 2018",956.55,2201052
"Apr 23, 2018",962.95,2295872
"Apr 24, 2018",961.95,1473491
"Apr 25, 2018",960.85,1385599
"Apr 26, 2018",969.50,1859223
"Apr 27, 2018",970.00,1049687
"Apr 30, 2018",981.80,1083840
"May 02, 2018",964.50,1027474
"May 03, 2018",959.35,1585290
"May 04, 2018",958.10,958663
"May 07, 2018",968.95,1987395
