Date,Price,Volume
"Feb 19, 2018",368.75,5658765
"Feb 20, 2018",369.30,3972114
"Feb 21, 2018",364.45,8640166
"Feb 22, 2018",358.50,10870704
"Feb 23, 2018",360.20,6751064
"Feb 26, 2018",372.05,10576794
"Feb 27, 2018",372.55,6156672
"Feb 28, 2018",369.90,8009429
"Mar 01, 2018",370.75,6991806
"Mar 05, 2018",352.05,14665325
"Mar 06, 2018",346.50,8876632
"Mar 07, 2018",347.80,15599393
"Mar 08, 2018",345.15,7674221
"Mar 09, 2018",341.50,5519224
"Mar 12, 2018",352.60,8238960
"Mar 13, 2018",353.15,6184241
"Mar 14, 2018",354.05,3820313
"Mar 15, 2018",353.10,4331145
"Mar 16, 2018",339.75,14205582
"Mar 19, 2018",335.70,9391347
"Mar 20, 2018",338.80,5080453
"Mar 21, 2018",333.85,6812442
"Mar 22, 2018",338.20,9255091
"Mar 23, 2018",330.85,8578297
"Mar 26, 2018",332.35,8907023
"Mar 27, 2018",331.15,6822448
"Mar 28, 2018",326.85,10975624
"Apr 02, 2018",339.15,9874486
"Apr 03, 2018",343.10,6989584
"Apr 04, 2018",355.60,27157199
"Apr 05, 2018",362.20,28886070
"Apr 06, 2018",364.10,13297051
"Apr 09, 2018",358.30,9555113
"Apr 10, 2018",353.25,8201215
"Apr 11, 2018",355.80,5622957
"Apr 12, 2018",358.40,13145938
"Apr 13, 2018",357.05,5935628
"Apr 16, 2018",339.15,19157051
"Apr 17, 2018",336.45,14241074
"Apr 18, 2018",334.80,6699271
"Apr 19, 2018",334.25,7087115
"Apr 20, 2018",336.00,11908652
"Apr 23, 2018",334.05,8056732
"Apr 24, 2018",331.55,9210931
"Apr 25, 2018",328.60,6306039
"Apr 26, 2018",330.25,16647689
"Apr 27, 2018",336.90,8804236
"Apr 30, 2018",340.40,5937740
"May 02, 2018",336.05,16022148
"May 03, 2018",333.50,6870513
"May 04, 2018",334.40,6660062
"May 07, 2018",335.15,3888627
"May 08, 2018",332.15,8114997
"May 09, 2018",341.95,19019847
"May 10, 2018",333.60,11158000
"May 11, 2018",330.80,7365579
"May 14, 2018",323.60,8312976
"May 15, 2018",310.10,15323964
"May 16, 2018",310.25,12051269
"May 17, 2018",314.90,10214660
"May 18, 2018",304.60,11688577
"May 21, 2018",295.90,11549490
"May 22, 2018",307.70,17199292
"May 23, 2018",309.45,17698475
"May 24, 2018",288.65,46104103
"May 25, 2018",294.15,19240172
"May 28, 2018",296.30,8516862
"May 29, 2018",294.65,9816561
"May 30, 2018",288.90,11649429
"May 31, 2018",282.50,28771987
"Jun 01, 2018",287.20,15840810
"Jun 04, 2018",286.65,10835487
"Jun 05, 2018",284.95,7456195
"Jun 06, 2018",295.65,19754001
"Jun 07, 2018",305.40,22839023
"Jun 08, 2018",309.95,27249374
"Jun 11, 2018",309.75,14650133
"Jun 12, 2018",307.80,7932388
"Jun 13, 2018",308.40,7280886
"Jun 14, 2018",305.90,6532693
"Jun 15, 2018",302.95,8224497
"Jun 18, 2018",308.80,8787098
"Jun 19, 2018",305.05,10498362
"Jun 20, 2018",305.60,6607472
"Jun 21, 2018",307.00,5085379
"Jun 22, 2018",308.00,6033095
"Jun 25, 2018",289.40,16392183
"Jun 26, 2018",276.85,30728620
"Jun 27, 2018",271.05,19077416
"Jun 28, 2018",263.35,19507165
"Jun 29, 2018",269.30,14765516
"Jul 02, 2018",266.70,16495647
"Jul 03, 2018",269.45,11484332
"Jul 04, 2018",267.05,7394858
